DISCIPLINE,00000000-0000-0000-0000-000000000000,Combined
CHAPTER,d7dff36f-7201-4d37-a4d6-b62e07fab910,Course Design,1,The following general principles of course design list the criteria~ responsibilities and restrictions governing Course Designers as the architects of the sport of IPSC shooting. ,00000000-0000-0000-0000-000000000000
CHAPTER,e925c9bc-bf05-40b4-b0a3-e563c243116d,Range and Course Construction,2,The following general regulations of course construction list the criteria~ responsibilities and restrictions applicable to courses of fire in IPSC matches. Course Designers~ host organizations and officials are governed by these regulations. ,00000000-0000-0000-0000-000000000000
CHAPTER,8d19825f-8c92-4012-af72-6c805ead4fcb,Course Information,3,,00000000-0000-0000-0000-000000000000
CHAPTER,c5232c99-1f50-45be-892d-774150ca4fb2,Range Equipment,4,,00000000-0000-0000-0000-000000000000
CHAPTER,85e99bbf-42f9-4e23-87f1-e0ccbc4ee0a6,Competitor Equipment,5,,00000000-0000-0000-0000-000000000000
CHAPTER,409eb8b2-7f9c-4ca2-b171-5b43b801881a,Match Structure,6,,00000000-0000-0000-0000-000000000000
CHAPTER,0860c5e2-d755-4c77-8866-9b31f15e1998,Match Management,7,,00000000-0000-0000-0000-000000000000
CHAPTER,6b6cdf89-79d9-4307-8e41-8e4673d4ef8b,The Course of Fire,8,,00000000-0000-0000-0000-000000000000
CHAPTER,b5ae926f-e6b9-4e48-8edd-9a977b4279c8,Scoring,9,,00000000-0000-0000-0000-000000000000
CHAPTER,08e8bb50-d456-420f-af24-34c5b92b10a6,Penalties and Disqualifications,10,,00000000-0000-0000-0000-000000000000
CHAPTER,74f7cf55-6892-45b2-829c-7aab1ed33225,Arbitration and Interpretation of Rules,11,,00000000-0000-0000-0000-000000000000
CHAPTER,1cdda85a-5f33-40b7-bc6a-5641ee46ab02,Miscellaneous Matters,12,,00000000-0000-0000-0000-000000000000
SECTION,744cad94-91b0-4779-8348-b88fe0d98c60,IPSC Approved Shotgun Targets � Metal (Shotgun only),4.3,,c5232c99-1f50-45be-892d-774150ca4fb2,00000000-0000-0000-0000-000000000000
SECTION,303dda7b-3f11-41ff-9939-f355b3fe7631,IPSC Approved Rifle Targets � Paper (Rifle | MiniRifle only),4.2,,c5232c99-1f50-45be-892d-774150ca4fb2,00000000-0000-0000-0000-000000000000
SECTION,5b8e53e2-8af9-43f6-a0a7-ff3dedae4195,IPSC Approved Rifle Targets � Metal (Rifle | MiniRifle only),4.3,,c5232c99-1f50-45be-892d-774150ca4fb2,00000000-0000-0000-0000-000000000000
SECTION,b98c394f-4f79-40bd-b3ed-2bf256a5548e,IPSC Approved Pistol Caliber Carbine Targets � Paper (PCC only),4.2,,c5232c99-1f50-45be-892d-774150ca4fb2,00000000-0000-0000-0000-000000000000
SECTION,c483ef8f-03b2-447b-a878-0f1bebdbe5e9,IPSC Approved Pistol Caliber Carbine Targets � Metal (PCC only),4.3,,c5232c99-1f50-45be-892d-774150ca4fb2,00000000-0000-0000-0000-000000000000
SECTION,9d2f574f-8971-4ae0-9a08-cbd114887bb5,Firearms,5.1,,85e99bbf-42f9-4e23-87f1-e0ccbc4ee0a6,00000000-0000-0000-0000-000000000000
SECTION,a85b7965-5ff3-4c72-ac9a-783affc12f33,Holster and Other Competitor Equipment (ActionAir | Handgun only),5.2,,85e99bbf-42f9-4e23-87f1-e0ccbc4ee0a6,00000000-0000-0000-0000-000000000000
SECTION,0a2f0b01-3ff0-4b73-8b76-fb488b1fcf40,Appropriate Dress,5.3,,85e99bbf-42f9-4e23-87f1-e0ccbc4ee0a6,00000000-0000-0000-0000-000000000000
SECTION,5be9c046-70dc-4178-a3a9-69b586abf68e,Eye Protection (ActionAir only),5.4,,85e99bbf-42f9-4e23-87f1-e0ccbc4ee0a6,00000000-0000-0000-0000-000000000000
SECTION,fb69764e-c823-4d8c-af18-9107d611f3ba,Projectiles and Related Equipment (ActionAir only),5.5,,85e99bbf-42f9-4e23-87f1-e0ccbc4ee0a6,00000000-0000-0000-0000-000000000000
SECTION,964a170c-ade1-48a1-88fe-405827aacd62,Power Factor (ActionAir only),5.6,,85e99bbf-42f9-4e23-87f1-e0ccbc4ee0a6,00000000-0000-0000-0000-000000000000
SECTION,b9d570b3-ee76-4e17-b3b8-366af62005a8,Malfunctions � Competitor�s Equipment (ActionAir | Shotgun | Rifle | MiniRifle | PCC only),5.7,,85e99bbf-42f9-4e23-87f1-e0ccbc4ee0a6,00000000-0000-0000-0000-000000000000
SECTION,460ec55b-3da6-462a-80eb-f424ce447cfe,Official Match Propellant (ActionAir only),5.8,,85e99bbf-42f9-4e23-87f1-e0ccbc4ee0a6,00000000-0000-0000-0000-000000000000
SECTION,7898f43b-8035-44a2-bbe5-3e4f846044b5,Eye and Ear Protection (Handgun | Shotgun | Rifle | MiniRifle | PCC only),5.4,,85e99bbf-42f9-4e23-87f1-e0ccbc4ee0a6,00000000-0000-0000-0000-000000000000
SECTION,06dad79a-9efa-4416-9d34-47887e3f8e02,Ammunition and Related Equipment (Handgun | Shotgun | Rifle | MiniRifle | PCC only),5.5,,85e99bbf-42f9-4e23-87f1-e0ccbc4ee0a6,00000000-0000-0000-0000-000000000000
SECTION,b02582b2-d9fe-4eba-8c94-6d2fc20d2d30,Chronograph and Power Factors (Handgun | Shotgun | Rifle | PCC only),5.6,,85e99bbf-42f9-4e23-87f1-e0ccbc4ee0a6,00000000-0000-0000-0000-000000000000
SECTION,c8f309ce-5d7e-44ae-9c85-1d00ddbba7e0,Malfunctions � Competitor's Equipment (Handgun only),5.7,,85e99bbf-42f9-4e23-87f1-e0ccbc4ee0a6,00000000-0000-0000-0000-000000000000
SECTION,76ea9eda-ea3a-46c2-84e2-794ba821244c,Official Match Ammunition (Handgun | Shotgun | Rifle | PCC only),5.8,,85e99bbf-42f9-4e23-87f1-e0ccbc4ee0a6,00000000-0000-0000-0000-000000000000
SECTION,c984d01d-2fa9-4aea-ac62-680c6aea0325,Carry and Storage and Competitor Equipment (Shotgun | Rifle | MiniRifle | PCC only),5.2,,85e99bbf-42f9-4e23-87f1-e0ccbc4ee0a6,00000000-0000-0000-0000-000000000000
SECTION,87386b2b-11e1-4ab4-a31a-00f0d6a7c212,Power Factors (MiniRifle only),5.6,,85e99bbf-42f9-4e23-87f1-e0ccbc4ee0a6,00000000-0000-0000-0000-000000000000
SECTION,7836fcd3-fd2c-4959-999f-2f041f81456f,General Principles,6.1,The following definitions are used for clarity: ,409eb8b2-7f9c-4ca2-b171-5b43b801881a,00000000-0000-0000-0000-000000000000
SECTION,c365ae18-1743-4b13-8cc5-5853e8f6d0a0,Match Divisions,6.2,,409eb8b2-7f9c-4ca2-b171-5b43b801881a,00000000-0000-0000-0000-000000000000
SECTION,ee375824-d95a-4a09-bc3a-4e6777e5f840,Match Categories,6.3,,409eb8b2-7f9c-4ca2-b171-5b43b801881a,00000000-0000-0000-0000-000000000000
SECTION,8912e904-e2ba-4fae-a5d5-d9c62a38ba6f,Regional Teams,6.4,,409eb8b2-7f9c-4ca2-b171-5b43b801881a,00000000-0000-0000-0000-000000000000
SECTION,e67886cd-3a2a-4472-9222-7f8303b47a8f,Competitor Status and Credentials,6.5,,409eb8b2-7f9c-4ca2-b171-5b43b801881a,00000000-0000-0000-0000-000000000000
SECTION,802cc4a2-7d88-450c-9171-ac3c791af91a,Competitor Scheduling and Squadding,6.6,,409eb8b2-7f9c-4ca2-b171-5b43b801881a,00000000-0000-0000-0000-000000000000
SECTION,70153230-4514-4c24-9518-ad7a65b62d99,International Classification System ("ICS"),6.7,,409eb8b2-7f9c-4ca2-b171-5b43b801881a,00000000-0000-0000-0000-000000000000
SECTION,45f22dda-a342-406e-a0b2-96775e899f81,Match Officials,7.1,The duties and terms of reference of Match Officials are defined as follows: ,0860c5e2-d755-4c77-8866-9b31f15e1998,00000000-0000-0000-0000-000000000000
SECTION,7f02b593-e14f-4258-bee2-60ea826ee7de,Discipline of Match Officials,7.2,,0860c5e2-d755-4c77-8866-9b31f15e1998,00000000-0000-0000-0000-000000000000
SECTION,fdb82d1c-cb4b-4476-898d-1661b3f7ee4f,Appointment of Officials,7.3,,0860c5e2-d755-4c77-8866-9b31f15e1998,00000000-0000-0000-0000-000000000000
SECTION,6b03e7d0-4abf-43d2-ba1d-e21ff99e1a8e,Handgun Ready Conditions (ActionAir | Handgun only),8.1,The ready condition for handguns will normally be as stated below. However~ in the event that a competitor fails to load the chamber when permitted by the written stage briefing~ whether inadvertently or intentionally~ the Range Officer must not take any action~ as the competitor is always responsible for the handling of the handgun. ,6b6cdf89-79d9-4307-8e41-8e4673d4ef8b,00000000-0000-0000-0000-000000000000
SECTION,47b0cbbf-dbe7-483c-895c-d00f4802ad7b,Competitor Ready Condition,8.2,This designates when~ under the direct command of a Range Officer: ,6b6cdf89-79d9-4307-8e41-8e4673d4ef8b,00000000-0000-0000-0000-000000000000
SECTION,8394189e-19fb-4c3d-9322-25f7ddbdb44e,Range Communication,8.3,The approved range commands and their sequence are as follows: ,6b6cdf89-79d9-4307-8e41-8e4673d4ef8b,00000000-0000-0000-0000-000000000000
SECTION,b5398d45-c73d-4811-8204-943723b1d00a,Loading~ Reloading or Unloading During a Course of Fire,8.4,,6b6cdf89-79d9-4307-8e41-8e4673d4ef8b,00000000-0000-0000-0000-000000000000
SECTION,711255a8-d611-43e4-9f86-0671d9f27065,Movement,8.5,,6b6cdf89-79d9-4307-8e41-8e4673d4ef8b,00000000-0000-0000-0000-000000000000
SECTION,a4cd5f2a-30ee-4b87-abec-eec6a420f458,Assistance or Interference,8.6,,6b6cdf89-79d9-4307-8e41-8e4673d4ef8b,00000000-0000-0000-0000-000000000000
SECTION,2bd363a1-b7ad-4081-a49e-5ac1f6e03353,Sight Pictures~ Dry Firing and Course Inspection,8.7,,6b6cdf89-79d9-4307-8e41-8e4673d4ef8b,00000000-0000-0000-0000-000000000000
SECTION,200ea742-4732-4524-9542-6df83fe8bd70,Shotgun Ready Conditions (Shotgun only),8.1,The ready condition for shotguns will normally be as stated below. However~ in the event that a competitor fails to load the chamber when permitted by the written stage briefing~ whether inadvertently or intentionally~ the Range Officer must not take any action~ as the competitor is always responsible for the handling of the shotgun. ,6b6cdf89-79d9-4307-8e41-8e4673d4ef8b,00000000-0000-0000-0000-000000000000
SECTION,8c9a5d33-8a65-4445-80dc-da671cf3f1b8,Rifle Ready Conditions (Rifle | MiniRifle only),8.1,The ready condition for rifles will normally be as stated below. However~ in the event that a competitor fails to load the chamber when permitted by the written stage briefing~ whether inadvertently or intentionally~ the Range Officer must not take any action~ as the competitor is always responsible for the handling of the rifle. ,6b6cdf89-79d9-4307-8e41-8e4673d4ef8b,00000000-0000-0000-0000-000000000000
SECTION,8cb902f6-d09b-4643-833e-64bd3cbc9dd3,Firearm Ready Conditions (PCC only),8.1,The ready condition for firearms will normally be as stated below. However~ in the event that a competitor fails to load the chamber when permitted by the written stage briefing~ whether inadvertently or intentionally~ the Range Officer must not take any action~ as the competitor is always responsible for the handling of the firearm. ,6b6cdf89-79d9-4307-8e41-8e4673d4ef8b,00000000-0000-0000-0000-000000000000
SECTION,d6351a0d-399e-4586-af91-10b8b345b240,General Regulations,9.1,,b5ae926f-e6b9-4e48-8edd-9a977b4279c8,00000000-0000-0000-0000-000000000000
SECTION,3243f6a1-cc70-47ec-97b2-f14dfc0a678b,Scoring Method,9.2,,b5ae926f-e6b9-4e48-8edd-9a977b4279c8,00000000-0000-0000-0000-000000000000
SECTION,c140ede8-e0f6-442c-acea-b27d569ccf17,Scoring Ties,9.3,,b5ae926f-e6b9-4e48-8edd-9a977b4279c8,00000000-0000-0000-0000-000000000000
SECTION,bd1353c3-19d2-4cd4-a686-bdbc260a089b,Target Scoring and Penalty Values,9.4,,b5ae926f-e6b9-4e48-8edd-9a977b4279c8,00000000-0000-0000-0000-000000000000
SECTION,a6e544ea-3461-4342-8e2a-3feadc3f1bf8,Target Scoring Policy,9.5,,b5ae926f-e6b9-4e48-8edd-9a977b4279c8,00000000-0000-0000-0000-000000000000
SECTION,73ac842f-bf9d-4ded-aa36-df4ab61dcf27,Score Verification and Challenge,9.6,,b5ae926f-e6b9-4e48-8edd-9a977b4279c8,00000000-0000-0000-0000-000000000000
SECTION,ecb28449-e926-4620-a0f4-ad06d264e30a,Score Sheets,9.7,,b5ae926f-e6b9-4e48-8edd-9a977b4279c8,00000000-0000-0000-0000-000000000000
SECTION,b2a6bdd0-2170-48d7-b62f-191847ba5dcf,Scoring Responsibility,9.8,,b5ae926f-e6b9-4e48-8edd-9a977b4279c8,00000000-0000-0000-0000-000000000000
SECTION,e1d5f66f-b95c-4434-aa01-d45671e0e584,Scoring of Disappearing Targets,9.9,,b5ae926f-e6b9-4e48-8edd-9a977b4279c8,00000000-0000-0000-0000-000000000000
SECTION,d42ce7c1-d297-4a14-8a19-eef3dcec0a5a,Official Time,9.10,,b5ae926f-e6b9-4e48-8edd-9a977b4279c8,00000000-0000-0000-0000-000000000000
SECTION,ea1f1a4a-1e7d-4477-a6ee-0e239d08260d,Scoring Programs,9.11,,b5ae926f-e6b9-4e48-8edd-9a977b4279c8,00000000-0000-0000-0000-000000000000
SECTION,8b1b0ca3-6695-4b9c-ab5c-445d1d8ef4a1,Procedural Penalties � General Regulations,10.1,,08e8bb50-d456-420f-af24-34c5b92b10a6,00000000-0000-0000-0000-000000000000
SECTION,5dddae8c-7e3f-4414-ac0b-c45a60349712,Procedural Penalties � Specific Examples,10.2,,08e8bb50-d456-420f-af24-34c5b92b10a6,00000000-0000-0000-0000-000000000000
SECTION,6b5008c2-d8b4-48d3-ad8c-1d7628ad5700,Disqualification � General Regulations,10.3,,08e8bb50-d456-420f-af24-34c5b92b10a6,00000000-0000-0000-0000-000000000000
SECTION,919a64e1-5fd2-4151-8f34-652b289763df,Disqualification � Accidental Discharge,10.4,A competitor who causes an accidental discharge must be stopped by a Range Officer as soon as possible. An accidental discharge is defined as follows: ,08e8bb50-d456-420f-af24-34c5b92b10a6,00000000-0000-0000-0000-000000000000
SECTION,4cc536ec-0508-4d09-a83c-50d544e59a5e,Disqualification � Unsafe Gun Handling,10.5,Examples of unsafe gun handling include~ but are not limited to: ,08e8bb50-d456-420f-af24-34c5b92b10a6,00000000-0000-0000-0000-000000000000
SECTION,203489c7-8c17-404d-8a1f-6f7b87e2696c,Disqualification � Unsportsmanlike Conduct,10.6,,08e8bb50-d456-420f-af24-34c5b92b10a6,00000000-0000-0000-0000-000000000000
SECTION,90694d89-203a-46e2-adad-5f90f168abac,Disqualification � Prohibited Substances,10.7,,08e8bb50-d456-420f-af24-34c5b92b10a6,00000000-0000-0000-0000-000000000000
SECTION,db679fda-51de-4302-ba5c-165af680c2b0,General Principles,11.1,,74f7cf55-6892-45b2-829c-7aab1ed33225,00000000-0000-0000-0000-000000000000
SECTION,a68035c6-20b4-442f-86dc-11042e9d7796,Composition of Committee,11.2,,74f7cf55-6892-45b2-829c-7aab1ed33225,00000000-0000-0000-0000-000000000000
SECTION,5e035088-9eab-4172-90c2-9f0534e84bac,Time Limits and Sequences,11.3,,74f7cf55-6892-45b2-829c-7aab1ed33225,00000000-0000-0000-0000-000000000000
SECTION,48a4d30f-2349-43a1-be85-b35cbb89f380,Fees,11.4,,74f7cf55-6892-45b2-829c-7aab1ed33225,00000000-0000-0000-0000-000000000000
SECTION,f57f3a0d-1165-4a58-81ba-85266f207cfe,Rules of Procedure,11.5,,74f7cf55-6892-45b2-829c-7aab1ed33225,00000000-0000-0000-0000-000000000000
SECTION,a566f231-cecc-484a-9c29-30096b777e00,Verdict and Subsequent Action,11.6,,74f7cf55-6892-45b2-829c-7aab1ed33225,00000000-0000-0000-0000-000000000000
SECTION,2d5fb20e-f79d-4113-b89c-d23c52679b90,Third Party Appeals,11.7,,74f7cf55-6892-45b2-829c-7aab1ed33225,00000000-0000-0000-0000-000000000000
SECTION,e70114a2-2351-4163-b16d-3ef5569024c0,Interpretation of Rules,11.8,,74f7cf55-6892-45b2-829c-7aab1ed33225,00000000-0000-0000-0000-000000000000
SECTION,d355921c-ac16-492a-a49f-aa45d2367b51,Appendices,12.1,All Appendices included herein are an integral part of these rules. ,1cdda85a-5f33-40b7-bc6a-5641ee46ab02,00000000-0000-0000-0000-000000000000
SECTION,ace67ab0-cb4b-4fd1-b3e3-1e31dbc77d4b,Language,12.2,English is the official language of the IPSC Rules. Should there be discrepancies between the English language version of these rules and versions presented in other languages~ the English language version will prevail. ,1cdda85a-5f33-40b7-bc6a-5641ee46ab02,00000000-0000-0000-0000-000000000000
SECTION,0d3ae984-78fd-4581-8925-38b678c14934,Disclaimers,12.3,Competitors and all other persons in attendance at an IPSC match are wholly~ solely and personally responsible to ensure that all and any equipment which they bring to the match is fully in compliance with all laws applicable to the geographical or political area where the match is being held. Neither IPSC nor any IPSC Officers~ nor any organization affiliated to IPSC nor any officers of any organization affiliated to IPSC accepts any responsibility whatsoever in this regard~ nor in respect of any loss~ damage~ accident~ injury or death suffered by any person or entity as a result of the lawful or unlawful use of any such equipment. ,1cdda85a-5f33-40b7-bc6a-5641ee46ab02,00000000-0000-0000-0000-000000000000
SECTION,f2604177-d3ce-44ec-bf27-202e999d18c8,Gender,12.4,References made herein to the male gender (i.e. "he"~ "his"~ "him") are deemed to include the female gender (i.e. "she"~ "her"). ,1cdda85a-5f33-40b7-bc6a-5641ee46ab02,00000000-0000-0000-0000-000000000000
SECTION,d2254c25-be2a-4550-beb0-4ed50bab361e,Glossary,12.5,Throughout these rules~ the following definitions apply: ,1cdda85a-5f33-40b7-bc6a-5641ee46ab02,00000000-0000-0000-0000-000000000000
RULE,a051cb7d-042b-4d08-8c25-af78b9f8cb86,Safety,1.1.1,IPSC matches must be designed~ constructed and conducted with due consideration to safety.,8822c317-73ab-4845-8208-385e36b3182b,00000000-0000-0000-0000-000000000000
RULE,be621269-6b6f-4cbe-9598-77d51cc55880, (ActionAir | Shotgun | Rifle | MiniRifle | PCC only),1.1.2,The value of an IPSC match is determined by the quality of the challenge presented in the course design. Courses of fire must be designed primarily to test a competitor�s IPSC shooting skills~ not their physical abilities.,8822c317-73ab-4845-8208-385e36b3182b,00000000-0000-0000-0000-000000000000
RULE,4ccf358a-d06e-434d-a452-aa2344125201, (ActionAir only),1.1.3,Accuracy~ Power and Speed are equivalent elements of IPSC shooting~ and are expressed in the Latin words "Diligentia~ Vis~ Celeritas" ("DVC"). A properly balanced course of fire will depend largely upon the nature of the challenges presented therein. However~ courses must be designed~ and IPSC matches must be conducted in such a way~ as to evaluate these elements equally. IPSC Action Air matches are exempt from minimum power considerations (also see Rule 5.6.1).,8822c317-73ab-4845-8208-385e36b3182b,00000000-0000-0000-0000-000000000000
RULE,a780d81b-7727-48da-96a4-70af93e61532,Diversity,1.1.4,IPSC shooting challenges are diverse. While it is not necessary to construct new courses for each match~ no single course of fire must be repeated to allow its use to be considered a definitive measure of IPSC shooting skills.,8822c317-73ab-4845-8208-385e36b3182b,00000000-0000-0000-0000-000000000000
RULE,ced12e6c-b51a-4bca-be1c-4d7b5a552b69, (ActionAir only),1.1.5,IPSC matches are freestyle. Competitors must be permitted to solve the challenge presented in a freestyle manner and~ for handgun matches~ to shoot targets on an "as and when visible" basis. After the Start Signal~ courses of fire must not require mandatory reloads nor dictate a shooting position~ location or stance~ except as specified below. However~ conditions may be created~ and barriers or other physical limitations may be constructed~ to compel a competitor into shooting positions~ locations or stances.,8822c317-73ab-4845-8208-385e36b3182b,00000000-0000-0000-0000-000000000000
RULE,f992d13f-ab8c-4c3b-b6e9-70b3016e0c08,Difficulty,1.1.6,IPSC matches present varied degrees of difficulty. No shooting challenge may be appealed as being prohibitive. This does not apply to non-shooting challenges~ which should reasonably allow for differences in competitor's height and physical build.,8822c317-73ab-4845-8208-385e36b3182b,00000000-0000-0000-0000-000000000000
RULE,877ebacd-068c-4abd-a1a8-689ad93b8e8f, (Handgun only),1.1.2,The value of an IPSC match is determined by the quality of the challenge presented in the course design. Courses of fire must be designed primarily to test a competitor's IPSC shooting skills~ not their physical abilities.,8822c317-73ab-4845-8208-385e36b3182b,00000000-0000-0000-0000-000000000000
RULE,a1f05cde-0a8d-4f82-8601-407423429903, (Handgun | Shotgun | Rifle | PCC only),1.1.3,Accuracy~ Power and Speed are equivalent elements of IPSC shooting~ and are expressed in the Latin words "Diligentia~ Vis~ Celeritas" ("DVC"). A properly balanced course of fire will depend largely upon the nature of the challenges presented therein. However~ courses must be designed~ and IPSC matches must be conducted in such a way~ as to evaluate these elements equally.,8822c317-73ab-4845-8208-385e36b3182b,00000000-0000-0000-0000-000000000000
