DISCIPLINE,cdb32d12-3aa3-48cf-8c61-35e79ed20813,PCC
CHAPTER,c86d2fe7-2dfb-4565-807d-0574efbfc37f,Course Design,1,The following general principles of course design list the criteria~ responsibilities and restrictions governing Course Designers as the architects of the sport of IPSC shooting. ,cdb32d12-3aa3-48cf-8c61-35e79ed20813
CHAPTER,49e6de35-6d75-49fa-afd9-4c18e4f2172c,Range and Course Construction,2,The following general regulations of course construction list the criteria~ responsibilities and restrictions applicable to courses of fire in IPSC matches. Course Designers~ host organizations and officials are governed by these regulations. ,cdb32d12-3aa3-48cf-8c61-35e79ed20813
CHAPTER,a79c0382-d014-4ba4-8f21-dea979f9e067,Course Information,3,,cdb32d12-3aa3-48cf-8c61-35e79ed20813
CHAPTER,9071bf64-3560-48d5-a8f6-ce0831e88afc,Range Equipment,4,,cdb32d12-3aa3-48cf-8c61-35e79ed20813
CHAPTER,5e0cda95-8451-400b-99f0-5cd03979ce93,Competitor Equipment,5,,cdb32d12-3aa3-48cf-8c61-35e79ed20813
CHAPTER,59271ca0-0719-4d94-9252-28c5b053bacb,Match Structure,6,,cdb32d12-3aa3-48cf-8c61-35e79ed20813
CHAPTER,a60f3827-c3c8-4018-8059-e45221c0a1a5,Match Management,7,,cdb32d12-3aa3-48cf-8c61-35e79ed20813
CHAPTER,5b702d6a-0ad4-4c45-8c35-8dde21080dd6,The Course of Fire,8,,cdb32d12-3aa3-48cf-8c61-35e79ed20813
CHAPTER,5231d906-bc73-452c-a752-0a5a7f168391,Scoring,9,,cdb32d12-3aa3-48cf-8c61-35e79ed20813
CHAPTER,e436aa69-4e8b-4c95-996c-2b13d2f07730,Penalties and Disqualifications,10,,cdb32d12-3aa3-48cf-8c61-35e79ed20813
CHAPTER,904a9cb0-c18c-467d-9f25-e6e1c11239de,Arbitration and Interpretation of Rules,11,,cdb32d12-3aa3-48cf-8c61-35e79ed20813
CHAPTER,5de1ba9c-0a14-4e2f-a308-b9ed1af4a54a,Miscellaneous Matters,12,,cdb32d12-3aa3-48cf-8c61-35e79ed20813
SECTION,2aa87033-6462-4333-ab31-2325d1c33708,Interpretation of Rules,11.8,,904a9cb0-c18c-467d-9f25-e6e1c11239de,cdb32d12-3aa3-48cf-8c61-35e79ed20813
SECTION,30c75c4f-e258-4b0e-b9a2-0b6e5b022d1e,Appendices,12.1,All Appendices included herein are an integral part of these rules. ,5de1ba9c-0a14-4e2f-a308-b9ed1af4a54a,cdb32d12-3aa3-48cf-8c61-35e79ed20813
SECTION,4bd7cdb7-652c-440d-8ea0-164ee36013ce,Language,12.2,English is the official language of the IPSC Rules. Should there be discrepancies between the English language version of these rules and versions presented in other languages~ the English language version will prevail. ,5de1ba9c-0a14-4e2f-a308-b9ed1af4a54a,cdb32d12-3aa3-48cf-8c61-35e79ed20813
SECTION,338a5484-2b90-4c40-952e-a1a7a1e5e790,Disclaimers,12.3,Competitors and all other persons in attendance at an IPSC match are wholly~ solely and personally responsible to ensure that all and any equipment which they bring to the match is fully in compliance with all laws applicable to the geographical or political area where the match is being held. Neither IPSC nor any IPSC Officers~ nor any organization affiliated to IPSC nor any officers of any organization affiliated to IPSC accepts any responsibility whatsoever in this regard~ nor in respect of any loss~ damage~ accident~ injury or death suffered by any person or entity as a result of the lawful or unlawful use of any such equipment. ,5de1ba9c-0a14-4e2f-a308-b9ed1af4a54a,cdb32d12-3aa3-48cf-8c61-35e79ed20813
SECTION,94f6baa1-bbbb-4a8d-b0de-242c45ddd6b9,Gender,12.4,References made herein to the male gender (i.e. "he"~ "his"~ "him") are deemed to include the female gender (i.e. "she"~ "her"). ,5de1ba9c-0a14-4e2f-a308-b9ed1af4a54a,cdb32d12-3aa3-48cf-8c61-35e79ed20813
SECTION,529d4d5c-aba6-4446-96f3-485e74adc193,Glossary,12.5,Throughout these rules~ the following definitions apply: ,5de1ba9c-0a14-4e2f-a308-b9ed1af4a54a,cdb32d12-3aa3-48cf-8c61-35e79ed20813
RULE,e35a7296-ef2a-46b9-8420-04b0d48f9d33,Safety,1.1.1,IPSC matches must be designed~ constructed and conducted with due consideration to safety.,aa5b0990-67fc-4aa2-a450-e53f4936567c,cdb32d12-3aa3-48cf-8c61-35e79ed20813
RULE,2620f716-7323-4f42-890c-e6eec8a326af,Quality,1.1.2,The value of an IPSC match is determined by the quality of the challenge presented in the course design. Courses of fire must be designed primarily to test a competitor�s IPSC shooting skills~ not their physical abilities.,aa5b0990-67fc-4aa2-a450-e53f4936567c,cdb32d12-3aa3-48cf-8c61-35e79ed20813
RULE,7ef6a3f8-c299-4823-97a6-330a5c550502,Balance,1.1.3,Accuracy~ Power and Speed are equivalent elements of IPSC shooting~ and are expressed in the Latin words "Diligentia~ Vis~ Celeritas" ("DVC"). A properly balanced course of fire will depend largely upon the nature of the challenges presented therein. However~ courses must be designed~ and IPSC matches must be conducted in such a way~ as to evaluate these elements equally.,aa5b0990-67fc-4aa2-a450-e53f4936567c,cdb32d12-3aa3-48cf-8c61-35e79ed20813
RULE,6f332c21-254a-4bf6-b4f2-7fcb0a85924a,Diversity,1.1.4,IPSC shooting challenges are diverse. While it is not necessary to construct new courses for each match~ no single course of fire must be repeated to allow its use to be considered a definitive measure of IPSC shooting skills.,aa5b0990-67fc-4aa2-a450-e53f4936567c,cdb32d12-3aa3-48cf-8c61-35e79ed20813
RULE,87f3ccfd-e0b4-4feb-9b8f-e768d6e1bb6f,Freestyle,1.1.5,IPSC matches are freestyle. Competitors must be permitted to solve the challenge presented in a freestyle manner and~ for handgun and shotgun matches~ to shoot targets on an "as and when visible" basis. After the Start Signal~ courses of fire must not require mandatory reloads nor dictate a shooting position~ location or stance~ except as specified below. However~ conditions may be created~ and barriers or other physical limitations may be constructed~ to compel a competitor into shooting positions~ locations or stances.,aa5b0990-67fc-4aa2-a450-e53f4936567c,cdb32d12-3aa3-48cf-8c61-35e79ed20813
RULE,ece65f29-7553-4ae7-80c8-2629181c8178,Difficulty,1.1.6,IPSC matches present varied degrees of difficulty. No shooting challenge may be appealed as being prohibitive. This does not apply to non-shooting challenges~ which should reasonably allow for differences in competitor's height and physical build.,aa5b0990-67fc-4aa2-a450-e53f4936567c,cdb32d12-3aa3-48cf-8c61-35e79ed20813
RULE,0e05a12b-810e-4498-a652-0ddf13977538,Challenge,1.1.7,IPSC matches recognize the challenges presented when using full power firearms in dynamic shooting~ and must always employ a minimum power factor to be attained by all competitors to reflect this challenge.,aa5b0990-67fc-4aa2-a450-e53f4936567c,cdb32d12-3aa3-48cf-8c61-35e79ed20813
RULE,a1654a1a-ffc7-4485-ae6e-cebe81a079cd,,1.2.1,General Courses of Fire:,3eb15580-9555-4162-9da9-e53e4a677455,cdb32d12-3aa3-48cf-8c61-35e79ed20813
RULE,eaa41d33-0b90-49e6-b566-27ac73b5ad60,,1.2.2,Special Courses of Fire:,3eb15580-9555-4162-9da9-e53e4a677455,cdb32d12-3aa3-48cf-8c61-35e79ed20813
RULE,41ae4e26-8056-4da9-8bc9-2d8ca13991f9,,1.3.1,Match organizers wishing to receive IPSC sanctioning must comply with the general principles of course design and course construction as well as all other current IPSC Rules and regulations relevant to the discipline. Courses of fire that do not comply with these requirements will not be sanctioned~ and must not be publicized or announced as IPSC sanctioned matches.,0f71fc9e-e0df-49af-8474-25b5e22d30a6,cdb32d12-3aa3-48cf-8c61-35e79ed20813
RULE,c3f73e6e-ae1d-46c6-a3e4-2cdb1f42a0db,,1.3.2,Target arrays and presentations or props included in courses of fire submitted to IPSC~ but deemed by IPSC to be illogical or impractical~ will not be approved (see latest version of the separate Target Array Book).,0f71fc9e-e0df-49af-8474-25b5e22d30a6,cdb32d12-3aa3-48cf-8c61-35e79ed20813
RULE,d0f3a252-5540-474c-a86f-930ee25cbd8d,,1.3.3,The IPSC President~ his delegate~ or an officer of the Confederation (in that order)~ may withdraw IPSC sanctioning from a match if~ in his or their opinion~ a match or any component part thereof:,0f71fc9e-e0df-49af-8474-25b5e22d30a6,cdb32d12-3aa3-48cf-8c61-35e79ed20813
RULE,16b32442-23d2-4873-aff1-e88a6486ed38,,1.3.4,IPSC match level requirements and recommendations are specified in Appendix A1.,0f71fc9e-e0df-49af-8474-25b5e22d30a6,cdb32d12-3aa3-48cf-8c61-35e79ed20813
RULE,f72b3a4a-ed13-48fd-846a-85665561c9ae,Physical Construction,2.1.1,Safety considerations in the design~ physical construction~ and stated requirements for any course of fire are the responsibility of the host organization subject to the approval of the Range Master. Reasonable effort must be made to prevent injury to competitors~ officials and spectators during the match. Course design should prevent inadvertent unsafe actions wherever possible. Consideration must be given to the operation of any course of fire to provide suitable access for officials supervising the competitors.,cd458791-969b-495b-8b39-b8e1dcbbaa48,cdb32d12-3aa3-48cf-8c61-35e79ed20813
RULE,271ee5ec-4218-47d0-98ac-e77407837f9e,Safe Angles of Fire,2.1.2,Courses of fire must always be constructed taking into account safe angles of fire. Consideration must be given to safe target and frame construction and the angle of any possible ricochets. Where appropriate the physical dimensions and suitability of backstops and side berms must be determined as part of the construction process. Unless otherwise specified~ the default maximum muzzle angle is 90 degrees in all directions~ measured from the front of the competitor facing directly center downrange. Violations are subject to Rule 10.5.2.,cd458791-969b-495b-8b39-b8e1dcbbaa48,cdb32d12-3aa3-48cf-8c61-35e79ed20813
RULE,da524bbc-8a00-4407-b6d2-84e49b6c7dbc,Minimum Distances,2.1.3,Whenever metal targets or metal hard cover are used in a course of fire~ precautions must be taken so that competitors and Match Officials maintain a minimum distance of 7 meters from them while they are being shot. Where possible~ this should be done with physical barriers. If Fault Lines are used to limit the approach to metal targets~ they must be placed at least 8 meters from the targets so that the competitor may inadvertently fault the line and still be outside the 7 meter minimum distance (see Rule 10.4.7). Care should also be taken in respect of metal props in the line of fire.,cd458791-969b-495b-8b39-b8e1dcbbaa48,cdb32d12-3aa3-48cf-8c61-35e79ed20813
RULE,dfbf687e-6d34-4070-accd-e4ae3fe17240,Target Locations,2.1.4,When a course is constructed to include target locations other than immediately downrange~ organizers and officials must protect or restrict surrounding areas to which competitors~ officials or spectators have access. Each competitor must be permitted to solve the competitive problem in his own way and must not be hindered by being forced to act in any manner which might cause unsafe action. Targets must be arranged so that shooting at them as presented will not cause competitors to breach safe angles of fire.,cd458791-969b-495b-8b39-b8e1dcbbaa48,cdb32d12-3aa3-48cf-8c61-35e79ed20813
RULE,56944e36-4e74-4a6c-a7e4-bed55df3366b,Range Surface,2.1.5,Where possible~ the range surface must be prepared prior to the match~ and be kept moderately clear of debris during the match~ to provide reasonable safety for competitors and officials. Consideration should be given to the possibility of inclement weather and competitor actions. Match Officials may add gravel~ sand or other materials to a deteriorated range surface at any time~ and such range maintenance actions may not be appealed by competitors.,cd458791-969b-495b-8b39-b8e1dcbbaa48,cdb32d12-3aa3-48cf-8c61-35e79ed20813
