DISCIPLINE,9a343f59-e142-4d31-b0d2-c6be6925a106,ActionAir
CHAPTER,8563f3dd-787b-42e6-ae77-e3ee2dbd93ef,Course Design,1,The following general principles of course design list the criteria~ responsibilities and restrictions governing Course Designers as the architects of the sport of IPSC shooting. ,9a343f59-e142-4d31-b0d2-c6be6925a106
CHAPTER,02ef8e05-c41b-4012-b579-713b87e198ba,Range and Course Construction,2,The following general regulations of course construction list the criteria~ responsibilities and restrictions applicable to courses of fire in IPSC matches. Course Designers~ host organizations and officials are governed by these regulations. ,9a343f59-e142-4d31-b0d2-c6be6925a106
CHAPTER,8af0bcd7-f99e-4856-9e50-f3ec7ec296ed,Course Information,3,,9a343f59-e142-4d31-b0d2-c6be6925a106
CHAPTER,91e69ce1-bc0d-49be-8f26-48fbe81a584e,Range Equipment,4,,9a343f59-e142-4d31-b0d2-c6be6925a106
CHAPTER,687755c6-7542-4ec3-9cec-273f1e645f1d,Competitor Equipment,5,,9a343f59-e142-4d31-b0d2-c6be6925a106
CHAPTER,0c9fe70a-275c-415d-abdb-bc4ff0a81096,Match Structure,6,,9a343f59-e142-4d31-b0d2-c6be6925a106
CHAPTER,38c96a8a-89bf-453d-8cca-a12fc28c11d2,Match Management,7,,9a343f59-e142-4d31-b0d2-c6be6925a106
CHAPTER,feb1fc5f-e176-4be6-8280-183cb3752e62,The Course of Fire,8,,9a343f59-e142-4d31-b0d2-c6be6925a106
CHAPTER,88db1f00-ca62-4449-89d4-bf2f291cdc34,Scoring,9,,9a343f59-e142-4d31-b0d2-c6be6925a106
CHAPTER,5cdb76ee-e7cb-4667-addf-71f34186a872,Penalties and Disqualifications,10,,9a343f59-e142-4d31-b0d2-c6be6925a106
CHAPTER,fe536705-5d38-4e99-b75e-f5e9638efb5d,Arbitration and Interpretation of Rules,11,,9a343f59-e142-4d31-b0d2-c6be6925a106
CHAPTER,01b3528a-7163-4745-ab14-654f99b672a7,Miscellaneous Matters,12,,9a343f59-e142-4d31-b0d2-c6be6925a106
SECTION,3477b301-836b-45d6-a11a-13b85b67542f,Appropriate Dress,5.3,,687755c6-7542-4ec3-9cec-273f1e645f1d,9a343f59-e142-4d31-b0d2-c6be6925a106
SECTION,0f28ff61-cd37-45e6-9b26-0420d4e0d54a,Eye Protection,5.4,,687755c6-7542-4ec3-9cec-273f1e645f1d,9a343f59-e142-4d31-b0d2-c6be6925a106
SECTION,ae1a11a3-2b60-44c8-a42f-b25e47775714,Projectiles and Related Equipment,5.5,,687755c6-7542-4ec3-9cec-273f1e645f1d,9a343f59-e142-4d31-b0d2-c6be6925a106
SECTION,e494d0b9-850a-4999-b16d-2d6e917b42d5,Power Factor,5.6,,687755c6-7542-4ec3-9cec-273f1e645f1d,9a343f59-e142-4d31-b0d2-c6be6925a106
SECTION,96878a74-1e80-4a88-8b14-f45197ac4140,Malfunctions � Competitor�s Equipment,5.7,,687755c6-7542-4ec3-9cec-273f1e645f1d,9a343f59-e142-4d31-b0d2-c6be6925a106
SECTION,b50c02ca-b247-4771-aac0-4743bc36e75c,Official Match Propellant,5.8,,687755c6-7542-4ec3-9cec-273f1e645f1d,9a343f59-e142-4d31-b0d2-c6be6925a106
SECTION,27ac8dea-2009-4b32-bfb5-2c0296f96027,General Principles,6.1,The following definitions are used for clarity: ,0c9fe70a-275c-415d-abdb-bc4ff0a81096,9a343f59-e142-4d31-b0d2-c6be6925a106
SECTION,737e89fd-91f0-4957-8ae3-8bba56a06821,Match Divisions,6.2,,0c9fe70a-275c-415d-abdb-bc4ff0a81096,9a343f59-e142-4d31-b0d2-c6be6925a106
SECTION,fb890cf8-3bad-4787-85da-35aa68141837,Match Categories,6.3,,0c9fe70a-275c-415d-abdb-bc4ff0a81096,9a343f59-e142-4d31-b0d2-c6be6925a106
SECTION,3d710481-f4a6-4744-8d59-d054d520e29d,Regional Teams,6.4,,0c9fe70a-275c-415d-abdb-bc4ff0a81096,9a343f59-e142-4d31-b0d2-c6be6925a106
SECTION,d3cfcf1a-ae1d-40fb-a033-751a8e8e8d86,Competitor Status and Credentials,6.5,,0c9fe70a-275c-415d-abdb-bc4ff0a81096,9a343f59-e142-4d31-b0d2-c6be6925a106
SECTION,a03b19ec-50bb-4195-831e-3bb2ccad561f,Competitor Scheduling and Squadding,6.6,,0c9fe70a-275c-415d-abdb-bc4ff0a81096,9a343f59-e142-4d31-b0d2-c6be6925a106
SECTION,223f859c-122f-43d0-a959-8f645d88cd9a,International Classification System ("ICS"),6.7,,0c9fe70a-275c-415d-abdb-bc4ff0a81096,9a343f59-e142-4d31-b0d2-c6be6925a106
SECTION,7f01097f-499e-4110-bd9c-84c525447015,Match Officials,7.1,The duties and terms of reference of Match Officials are defined as follows: ,38c96a8a-89bf-453d-8cca-a12fc28c11d2,9a343f59-e142-4d31-b0d2-c6be6925a106
SECTION,e1d6f249-28a0-4cda-afa3-d8892745dc76,Discipline of Match Officials,7.2,,38c96a8a-89bf-453d-8cca-a12fc28c11d2,9a343f59-e142-4d31-b0d2-c6be6925a106
SECTION,f260c047-b0f4-40ea-ba47-cb819bbdfee3,Appointment of Officials,7.3,,38c96a8a-89bf-453d-8cca-a12fc28c11d2,9a343f59-e142-4d31-b0d2-c6be6925a106
SECTION,2c5983a3-c100-4197-8617-a026ce6bc992,Handgun Ready Conditions,8.1,The ready condition for handguns will normally be as stated below. However~ in the event that a competitor fails to load the chamber when permitted by the written stage briefing~ whether inadvertently or intentionally~ the Range Officer must not take any action~ as the competitor is always responsible for the handling of the handgun. ,feb1fc5f-e176-4be6-8280-183cb3752e62,9a343f59-e142-4d31-b0d2-c6be6925a106
SECTION,4755ae87-b7f7-4f4f-83e3-4654d63596a8,Competitor Ready Condition,8.2,This designates when~ under the direct command of a Range Officer: ,feb1fc5f-e176-4be6-8280-183cb3752e62,9a343f59-e142-4d31-b0d2-c6be6925a106
SECTION,f4a1bf51-f385-424f-a661-8e68626327df,Range Communication,8.3,The approved range commands and their sequence are as follows: ,feb1fc5f-e176-4be6-8280-183cb3752e62,9a343f59-e142-4d31-b0d2-c6be6925a106
SECTION,0e975d96-5b6b-4b6e-8528-3a959b9bd79d,Loading~ Reloading or Unloading During a Course of Fire,8.4,,feb1fc5f-e176-4be6-8280-183cb3752e62,9a343f59-e142-4d31-b0d2-c6be6925a106
SECTION,ca534f7f-10e0-4f75-9390-c803e6000b4c,Movement,8.5,,feb1fc5f-e176-4be6-8280-183cb3752e62,9a343f59-e142-4d31-b0d2-c6be6925a106
SECTION,d0088a4a-529d-40e4-9761-308f5a066862,Assistance or Interference,8.6,,feb1fc5f-e176-4be6-8280-183cb3752e62,9a343f59-e142-4d31-b0d2-c6be6925a106
SECTION,e950a5b2-9828-4be3-957a-c5afca8b4e32,Sight Pictures~ Dry Firing and Course Inspection,8.7,,feb1fc5f-e176-4be6-8280-183cb3752e62,9a343f59-e142-4d31-b0d2-c6be6925a106
SECTION,ac11ee5d-0098-493c-b8ac-d148ae27a7a9,General Regulations,9.1,,88db1f00-ca62-4449-89d4-bf2f291cdc34,9a343f59-e142-4d31-b0d2-c6be6925a106
SECTION,ffa2fb7b-9e70-446c-95cc-940fac5c2a55,Scoring Method,9.2,,88db1f00-ca62-4449-89d4-bf2f291cdc34,9a343f59-e142-4d31-b0d2-c6be6925a106
SECTION,829a4226-4030-4ab1-9847-1085c8117b99,Scoring Ties,9.3,,88db1f00-ca62-4449-89d4-bf2f291cdc34,9a343f59-e142-4d31-b0d2-c6be6925a106
SECTION,91b6bde5-82fa-423d-a7d7-85664ed21787,Target Scoring and Penalty Values,9.4,,88db1f00-ca62-4449-89d4-bf2f291cdc34,9a343f59-e142-4d31-b0d2-c6be6925a106
SECTION,909b79c8-af66-4961-aba0-207611108608,Target Scoring Policy,9.5,,88db1f00-ca62-4449-89d4-bf2f291cdc34,9a343f59-e142-4d31-b0d2-c6be6925a106
SECTION,18cc1fef-82c5-4d46-8df8-efcf41246e00,Score Verification and Challenge,9.6,,88db1f00-ca62-4449-89d4-bf2f291cdc34,9a343f59-e142-4d31-b0d2-c6be6925a106
SECTION,725c08a9-4910-4221-8398-08ea6dee717a,Score Sheets,9.7,,88db1f00-ca62-4449-89d4-bf2f291cdc34,9a343f59-e142-4d31-b0d2-c6be6925a106
SECTION,aa9a5492-92d3-4b23-ba65-2993676587f4,Scoring Responsibility,9.8,,88db1f00-ca62-4449-89d4-bf2f291cdc34,9a343f59-e142-4d31-b0d2-c6be6925a106
SECTION,3ff616a5-368c-435b-8c0e-30c9ecc069cd,Scoring of Disappearing Targets,9.9,,88db1f00-ca62-4449-89d4-bf2f291cdc34,9a343f59-e142-4d31-b0d2-c6be6925a106
SECTION,37920702-6d6d-4dbd-9518-4cd7dee4fc7c,Official Time,9.10,,88db1f00-ca62-4449-89d4-bf2f291cdc34,9a343f59-e142-4d31-b0d2-c6be6925a106
SECTION,3a277fbe-3b03-46ea-8149-b8157498564f,Scoring Programs,9.11,,88db1f00-ca62-4449-89d4-bf2f291cdc34,9a343f59-e142-4d31-b0d2-c6be6925a106
SECTION,b4f0c8da-b3f3-4ddd-a470-63d167269823,Procedural Penalties � General Regulations,10.1,,5cdb76ee-e7cb-4667-addf-71f34186a872,9a343f59-e142-4d31-b0d2-c6be6925a106
SECTION,d18a63e9-ab1f-4a3e-a239-b1732d84cbc8,Procedural Penalties � Specific Examples,10.2,,5cdb76ee-e7cb-4667-addf-71f34186a872,9a343f59-e142-4d31-b0d2-c6be6925a106
SECTION,c1d06fba-4d52-4172-acf4-e3123a58714c,Disqualification � General Regulations,10.3,,5cdb76ee-e7cb-4667-addf-71f34186a872,9a343f59-e142-4d31-b0d2-c6be6925a106
SECTION,3bcf70ac-07a0-4af5-895b-4f787598b3f1,Disqualification � Accidental Discharge,10.4,A competitor who causes an accidental discharge must be stopped by a Range Officer as soon as possible. An accidental discharge is defined as follows: ,5cdb76ee-e7cb-4667-addf-71f34186a872,9a343f59-e142-4d31-b0d2-c6be6925a106
SECTION,e177a453-498b-46ad-8228-0eb1ad486071,Disqualification � Unsafe Gun Handling,10.5,Examples of unsafe gun handling include~ but are not limited to: ,5cdb76ee-e7cb-4667-addf-71f34186a872,9a343f59-e142-4d31-b0d2-c6be6925a106
SECTION,4259af76-9cec-40c9-b73d-098523f60ee0,Disqualification � Unsportsmanlike Conduct,10.6,,5cdb76ee-e7cb-4667-addf-71f34186a872,9a343f59-e142-4d31-b0d2-c6be6925a106
SECTION,62456b8b-3555-405a-8551-a06bf1e53efc,Disqualification � Prohibited Substances,10.7,,5cdb76ee-e7cb-4667-addf-71f34186a872,9a343f59-e142-4d31-b0d2-c6be6925a106
SECTION,5059042f-1895-4a6a-9f06-013d10d870ca,General Principles,11.1,,fe536705-5d38-4e99-b75e-f5e9638efb5d,9a343f59-e142-4d31-b0d2-c6be6925a106
SECTION,10ca6598-b1f0-4555-a5f0-f8f1825fd9e3,Composition of Committee,11.2,,fe536705-5d38-4e99-b75e-f5e9638efb5d,9a343f59-e142-4d31-b0d2-c6be6925a106
SECTION,032130e9-80d2-4ae5-a7f0-87904e57f693,Time Limits and Sequences,11.3,,fe536705-5d38-4e99-b75e-f5e9638efb5d,9a343f59-e142-4d31-b0d2-c6be6925a106
SECTION,128c40dc-76a2-46c8-8d67-64f70225f32d,Fees,11.4,,fe536705-5d38-4e99-b75e-f5e9638efb5d,9a343f59-e142-4d31-b0d2-c6be6925a106
SECTION,df4d9033-417e-4232-a10f-46bf22f39d5d,Rules of Procedure,11.5,,fe536705-5d38-4e99-b75e-f5e9638efb5d,9a343f59-e142-4d31-b0d2-c6be6925a106
SECTION,bdaa4d3c-3626-4f91-a79d-dee8a0e52c7f,Verdict and Subsequent Action,11.6,,fe536705-5d38-4e99-b75e-f5e9638efb5d,9a343f59-e142-4d31-b0d2-c6be6925a106
SECTION,92a5cc31-44ee-4648-b130-e81fa2482c73,Third Party Appeals,11.7,,fe536705-5d38-4e99-b75e-f5e9638efb5d,9a343f59-e142-4d31-b0d2-c6be6925a106
SECTION,39ffdeb3-863c-4829-a64e-48df2ba22b1b,Interpretation of Rules,11.8,,fe536705-5d38-4e99-b75e-f5e9638efb5d,9a343f59-e142-4d31-b0d2-c6be6925a106
SECTION,4919f875-92e8-4d6f-9ec5-88f6085e8a54,Appendices,12.1,All Appendices included herein are an integral part of these rules. ,01b3528a-7163-4745-ab14-654f99b672a7,9a343f59-e142-4d31-b0d2-c6be6925a106
SECTION,3992fdf6-133a-4d54-8467-90fdefb4c233,Language,12.2,English is the official language of the IPSC Rules. Should there be discrepancies between the English language version of these rules and versions presented in other languages~ the English language version will prevail. ,01b3528a-7163-4745-ab14-654f99b672a7,9a343f59-e142-4d31-b0d2-c6be6925a106
SECTION,d6e80b41-a6f1-477e-8088-3b3a3b650361,Disclaimers,12.3,Competitors and all other persons in attendance at an IPSC match are wholly~ solely and personally responsible to ensure that all and any equipment which they bring to the match is fully in compliance with all laws applicable to the geographical or political area where the match is being held. Neither IPSC nor any IPSC Officers~ nor any organization affiliated to IPSC nor any officers of any organization affiliated to IPSC accepts any responsibility whatsoever in this regard~ nor in respect of any loss~ damage~ accident~ injury or death suffered by any person or entity as a result of the lawful or unlawful use of any such equipment. ,01b3528a-7163-4745-ab14-654f99b672a7,9a343f59-e142-4d31-b0d2-c6be6925a106
SECTION,73cdfbc8-3fcf-4ff5-93e7-b5329f5ff381,Gender,12.4,References made herein to the male gender (i.e. "he"~ "his"~ "him") are deemed to include the female gender (i.e. "she"~ "her"). ,01b3528a-7163-4745-ab14-654f99b672a7,9a343f59-e142-4d31-b0d2-c6be6925a106
SECTION,65738ec9-333d-4907-8fa9-d7222ea1edce,Glossary,12.5,Throughout these rules~ the following definitions apply: ,01b3528a-7163-4745-ab14-654f99b672a7,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,29ec468c-6d2e-4fbb-955c-8c17ce2c35a1,Safety,1.1.1,IPSC matches must be designed~ constructed and conducted with due consideration to safety.,a422f5b6-7b82-48dd-859c-21d2f907d53e,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,ed600a2a-0fca-46c8-8326-d135a1e36700,Quality,1.1.2,The value of an IPSC match is determined by the quality of the challenge presented in the course design. Courses of fire must be designed primarily to test a competitor�s IPSC shooting skills~ not their physical abilities.,a422f5b6-7b82-48dd-859c-21d2f907d53e,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,a00ebec4-ec27-4de9-b8c0-5e52a7fcb2e8,Balance,1.1.3,Accuracy~ Power and Speed are equivalent elements of IPSC shooting~ and are expressed in the Latin words "Diligentia~ Vis~ Celeritas" ("DVC"). A properly balanced course of fire will depend largely upon the nature of the challenges presented therein. However~ courses must be designed~ and IPSC matches must be conducted in such a way~ as to evaluate these elements equally. IPSC Action Air matches are exempt from minimum power considerations (also see Rule 5.6.1).,a422f5b6-7b82-48dd-859c-21d2f907d53e,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,a2bf7b66-f37a-4451-90e8-a6ef0f840eee,Diversity,1.1.4,IPSC shooting challenges are diverse. While it is not necessary to construct new courses for each match~ no single course of fire must be repeated to allow its use to be considered a definitive measure of IPSC shooting skills.,a422f5b6-7b82-48dd-859c-21d2f907d53e,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,58693c89-063a-40a7-bab6-d049a8e4c97d,Freestyle,1.1.5,IPSC matches are freestyle. Competitors must be permitted to solve the challenge presented in a freestyle manner and~ for handgun matches~ to shoot targets on an "as and when visible" basis. After the Start Signal~ courses of fire must not require mandatory reloads nor dictate a shooting position~ location or stance~ except as specified below. However~ conditions may be created~ and barriers or other physical limitations may be constructed~ to compel a competitor into shooting positions~ locations or stances.,a422f5b6-7b82-48dd-859c-21d2f907d53e,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,99850d28-5ec9-4281-bf25-a5fef4508755,Difficulty,1.1.6,IPSC matches present varied degrees of difficulty. No shooting challenge may be appealed as being prohibitive. This does not apply to non-shooting challenges~ which should reasonably allow for differences in competitor's height and physical build.,a422f5b6-7b82-48dd-859c-21d2f907d53e,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,e0abf76a-17bf-470c-9798-22dbc389cb9b,,1.2.1,General Courses of Fire:,97a9d37d-6b75-43b4-b3bb-e97d4fc98786,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,9d1b12ac-c8db-45d9-96bb-23cd2acc2ae0,,1.2.2,Special Courses of Fire:,97a9d37d-6b75-43b4-b3bb-e97d4fc98786,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,32872a0f-3cf9-48a4-b68f-0bab2c756130,,1.3.1,Match organizers wishing to receive IPSC sanctioning must comply with the general principles of course design and course construction as well as all other current IPSC Rules and regulations relevant to the discipline. Courses of fire that do not comply with these requirements will not be sanctioned~ and must not be publicized or announced as IPSC sanctioned matches.,07df4d43-92a6-4950-968b-a5026c1d9e35,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,33b7d7ea-1848-4cc0-ab2a-056aa5d260ed,,1.3.2,Target arrays and presentations or props included in courses of fire submitted to IPSC~ but deemed by IPSC to be illogical or impractical~ will not be approved (see latest version of the separate Target Array Book).,07df4d43-92a6-4950-968b-a5026c1d9e35,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,a7c8c4fc-3bbb-4ee1-a88a-b53efb7962ab,,1.3.3,The IPSC President~ his delegate~ or an officer of the Confederation (in that order)~ may withdraw IPSC sanctioning from a match if~ in his or their opinion~ a match or any component part thereof:,07df4d43-92a6-4950-968b-a5026c1d9e35,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,f7c9f3f0-1858-4e9c-8e27-d37384d75a34,,1.3.4,IPSC match level requirements and recommendations are specified in Appendix A1.,07df4d43-92a6-4950-968b-a5026c1d9e35,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,97cb09cc-a7b7-4644-bc35-e1664e4779c9,Physical Construction,2.1.1,Safety considerations in the design~ physical construction~ and stated requirements for any course of fire are the responsibility of the host organization subject to the approval of the Range Master. Reasonable effort must be made to prevent injury to competitors~ officials and spectators during the match. Course design should prevent inadvertent unsafe actions wherever possible. Consideration must be given to the operation of any course of fire to provide suitable access for officials supervising the competitors.,f4109607-cc06-405a-815d-3414f5ac3ee7,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,711830ae-7dbc-4ffc-a9e5-861fb2dbc193,Safe Angles of Fire,2.1.2,Courses of fire must always be constructed taking into account safe angles of fire. Consideration must be given to safe target and frame construction and the angle of any possible ricochets. Where appropriate the physical dimensions and suitability of backstops and side berms must be determined as part of the construction process. Unless otherwise specified~ the default maximum muzzle angle is 90 degrees in all directions~ measured from the front of the competitor facing directly center downrange. Violations are subject to Rule 10.5.2.,f4109607-cc06-405a-815d-3414f5ac3ee7,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,59d401ff-4fd5-4814-9182-34f5b9f3b86a,Minimum Distances,2.1.3,Whenever rigid targets or rigid hard cover are used in a course of fire~ precautions must be taken so that competitors and Match Officials maintain a safe minimum distance from them while they are being shot. Where possible~ this should be done with physical barriers. Care should also be taken in respect of props in the line of fire.,f4109607-cc06-405a-815d-3414f5ac3ee7,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,07a1804c-4e04-41a8-bdc9-07267cd4faf6,Target Locations,2.1.4,When a course is constructed to include target locations other than immediately downrange~ organizers and officials must protect or restrict surrounding areas to which competitors~ officials or spectators have access. Each competitor must be permitted to solve the competitive problem in his own way and must not be hindered by being forced to act in any manner which might cause unsafe action. Targets must be arranged so that shooting at them as presented will not cause competitors to breach safe angles of fire.,f4109607-cc06-405a-815d-3414f5ac3ee7,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,63d39780-c57b-43f5-871c-ab3ed7a0e941,Range Surface,2.1.5,Where possible~ the range surface must be prepared prior to the match~ and be kept moderately clear of debris during the match~ to provide reasonable safety for competitors and officials. Consideration should be given to the possibility of inclement weather and competitor actions. Match Officials may add gravel~ sand or other materials to a deteriorated range surface at any time~ and such range maintenance actions may not be appealed by competitors.,f4109607-cc06-405a-815d-3414f5ac3ee7,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,383c4ccd-6190-493f-b365-0378d88e8358,Obstacles,2.1.6,Natural or created obstacles in a course of fire should reasonably allow for variations in competitors' height and physical build and should be constructed to provide reasonable safety for all competitors~ Match Officials and spectators.,f4109607-cc06-405a-815d-3414f5ac3ee7,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,dc49d738-d53b-436a-8253-fa6eb6efd7ab,Common Firing Lines,2.1.7,Courses of fire where multiple competitors are required to fire simultaneously from a common firing line (e.g. Shoot-Off)~ must provide a minimum of 3 meters of free space between each competitor.,f4109607-cc06-405a-815d-3414f5ac3ee7,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,743b4d54-e872-4b20-9fbb-48dc52c53efa,Target Placement,2.1.8,Care must be taken with the physical placement of a paper target to prevent a "shoot through".,f4109607-cc06-405a-815d-3414f5ac3ee7,9a343f59-e142-4d31-b0d2-c6be6925a106
