DISCIPLINE,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0,Shotgun
CHAPTER,a522ef74-8f0a-4b4b-bc96-c2686648c948,Course Design,1,The following general principles of course design list the criteria~ responsibilities and restrictions governing Course Designers as the architects of the sport of IPSC shooting. ,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
CHAPTER,d7eadec7-988c-41ea-bcd8-12eeba5062f9,Range and Course Construction,2,The following general regulations of course construction list the criteria~ responsibilities and restrictions applicable to courses of fire in IPSC matches. Course Designers~ host organizations and officials are governed by these regulations. ,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
CHAPTER,4ee10809-42e9-44a7-b336-7aea1ea4ba68,Course Information,3,,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
CHAPTER,3525567f-1076-4514-ba19-f0b78c2c7650,Range Equipment,4,,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
CHAPTER,36e03673-8c72-4467-bdbd-fc2fd11f90d1,Competitor Equipment,5,,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
CHAPTER,22167b43-a0ec-4636-8d27-4fd082140bd8,Match Structure,6,,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
CHAPTER,92cfdc12-6b8c-42f9-a5ab-5e0132d330e0,Match Management,7,,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
CHAPTER,052d3107-1381-4ebc-9e5e-5fb45ed6074f,The Course of Fire,8,,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
CHAPTER,e59f5405-335f-4249-88ad-2ead96add2fd,Scoring,9,,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
CHAPTER,634b991c-2597-4d52-a8bf-e91540544366,Penalties and Disqualifications,10,,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
CHAPTER,54a6c27c-06c4-44a2-b503-64735c7fcebe,Arbitration and Interpretation of Rules,11,,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
CHAPTER,766fcc57-a446-4f58-ac29-3c60c90b27aa,Miscellaneous Matters,12,,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
SECTION,886fe4dd-50e1-4700-9824-efe8ff0fc070,General Regulations,3.1,The competitor is always responsible to safely fulfill the requirements of a course of fire but can only reasonably be expected to do so after verbally or physically receiving the written stage briefing~ which must adequately explain the requirements to the competitors. Course information can be broadly divided into the following types: ,4ee10809-42e9-44a7-b336-7aea1ea4ba68,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
SECTION,54a53426-3054-4c5f-8b6a-4d3fcc9013b0,Written Stage Briefings,3.2,,4ee10809-42e9-44a7-b336-7aea1ea4ba68,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
SECTION,29fe5010-49e4-4212-a07e-ffa188ca7074,Local~ Regional and National Rules,3.3,,4ee10809-42e9-44a7-b336-7aea1ea4ba68,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
SECTION,b8393d8e-38ff-4dbb-a321-3131356c0339,Targets � General Principles,4.1,,3525567f-1076-4514-ba19-f0b78c2c7650,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
SECTION,e73507c2-8c47-450d-b950-015027a024e8,IPSC Approved Shotgun Targets � Paper,4.2,,3525567f-1076-4514-ba19-f0b78c2c7650,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
SECTION,471dcc95-97bf-49bd-9a79-e23a92a1be4a,IPSC Approved Shotgun Targets � Metal,4.3,,3525567f-1076-4514-ba19-f0b78c2c7650,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
SECTION,7558aec5-db47-4d6a-ae0b-dc88d634490e,Frangible and Synthetic Targets,4.4,,3525567f-1076-4514-ba19-f0b78c2c7650,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
SECTION,b95a326f-6cdd-4602-8cdd-74c9135157b4,Rearrangement of Range Equipment or Surface,4.5,,3525567f-1076-4514-ba19-f0b78c2c7650,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
SECTION,7ebba3c0-a525-474a-b4d8-f4c05bf2e9f1,Range Equipment Failure and Other Issues,4.6,,3525567f-1076-4514-ba19-f0b78c2c7650,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
SECTION,702f26f1-90d2-47b4-95cc-5ab6fef84129,Firearms,5.1,,36e03673-8c72-4467-bdbd-fc2fd11f90d1,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
SECTION,1cc795a4-b9a3-4cb5-80ce-475cce850b5a,Carry and Storage and Competitor Equipment,5.2,,36e03673-8c72-4467-bdbd-fc2fd11f90d1,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
SECTION,2b8f9c77-bc0e-4b52-ac77-b80c53f04baf,Appropriate Dress,5.3,,36e03673-8c72-4467-bdbd-fc2fd11f90d1,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
SECTION,c5d99c7b-e421-4bfd-9572-aa3504e5f3c6,Eye and Ear Protection,5.4,,36e03673-8c72-4467-bdbd-fc2fd11f90d1,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
SECTION,0b2d24c5-66de-4608-b462-f07d4f2c6c04,Ammunition and Related Equipment,5.5,,36e03673-8c72-4467-bdbd-fc2fd11f90d1,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
SECTION,5319533f-a133-4831-8dd9-80bdb5a00d64,Chronograph and Power Factors,5.6,,36e03673-8c72-4467-bdbd-fc2fd11f90d1,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
SECTION,b35730fb-03e4-439a-bcdd-d809b74404a2,Malfunctions � Competitor�s Equipment,5.7,,36e03673-8c72-4467-bdbd-fc2fd11f90d1,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
SECTION,3efe94f0-7496-4819-9d65-e04d08f762cd,Official Match Ammunition,5.8,,36e03673-8c72-4467-bdbd-fc2fd11f90d1,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
SECTION,052bf51c-3f77-450f-b3d9-cc8dc84225a0,General Principles,6.1,The following definitions are used for clarity: ,22167b43-a0ec-4636-8d27-4fd082140bd8,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
SECTION,32cab4cb-ed89-4d36-8f61-aed025635e70,Match Divisions,6.2,,22167b43-a0ec-4636-8d27-4fd082140bd8,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
SECTION,5735e13d-45b1-4785-a404-bdea98449a72,Match Categories,6.3,,22167b43-a0ec-4636-8d27-4fd082140bd8,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
SECTION,4c29197b-7efc-4fb9-a4e4-fc43b591dbf9,Regional Teams,6.4,,22167b43-a0ec-4636-8d27-4fd082140bd8,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
SECTION,b5afc1df-4a91-4be8-af6b-9cc29bb70021,Competitor Status and Credentials,6.5,,22167b43-a0ec-4636-8d27-4fd082140bd8,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
SECTION,911a6f58-4bb4-4625-966d-1ea135044aca,Competitor Scheduling and Squadding,6.6,,22167b43-a0ec-4636-8d27-4fd082140bd8,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
SECTION,064ef05a-83a6-4484-abb4-0500d84471f9,International Classification System ("ICS"),6.7,,22167b43-a0ec-4636-8d27-4fd082140bd8,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
SECTION,da9d1497-172f-4663-b0a6-01f7f2962360,Match Officials,7.1,The duties and terms of reference of Match Officials are defined as follows: ,92cfdc12-6b8c-42f9-a5ab-5e0132d330e0,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
SECTION,078a0ddd-ab97-4eb0-b97c-feef2a163db2,Discipline of Match Officials,7.2,,92cfdc12-6b8c-42f9-a5ab-5e0132d330e0,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
SECTION,eaa955c0-98f1-4d73-9291-bfff51cc1818,Appointment of Officials,7.3,,92cfdc12-6b8c-42f9-a5ab-5e0132d330e0,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
SECTION,a82c9d75-eb9d-4eba-83e8-39a25595d74b,Shotgun Ready Conditions,8.1,The ready condition for shotguns will normally be as stated below. However~ in the event that a competitor fails to load the chamber when permitted by the written stage briefing~ whether inadvertently or intentionally~ the Range Officer must not take any action~ as the competitor is always responsible for the handling of the shotgun. ,052d3107-1381-4ebc-9e5e-5fb45ed6074f,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
SECTION,90a9c245-ce32-4e2e-8f4a-3da8a61e4de6,Competitor Ready Condition,8.2,This designates when~ under the direct command of a Range Officer: ,052d3107-1381-4ebc-9e5e-5fb45ed6074f,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
SECTION,2e5379a6-8467-4bea-985a-f7a4e100ea10,Range Communication,8.3,The approved range commands and their sequence are as follows: ,052d3107-1381-4ebc-9e5e-5fb45ed6074f,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
SECTION,340a700f-b513-4726-8a50-c06a83691471,Loading~ Reloading or Unloading During a Course of Fire,8.4,,052d3107-1381-4ebc-9e5e-5fb45ed6074f,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
SECTION,f0481a58-a9b8-422e-a853-be5fc56593d7,Movement,8.5,,052d3107-1381-4ebc-9e5e-5fb45ed6074f,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
SECTION,a3b48d6b-d03b-4d86-8faf-f35cfb9a062c,Assistance or Interference,8.6,,052d3107-1381-4ebc-9e5e-5fb45ed6074f,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
SECTION,21b6780c-12f1-4b8e-a969-7bd77b9a4896,Sight Pictures~ Dry Firing and Course Inspection,8.7,,052d3107-1381-4ebc-9e5e-5fb45ed6074f,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
SECTION,21c26498-e5f7-442d-92aa-b23a284ac7c5,General Regulations,9.1,,e59f5405-335f-4249-88ad-2ead96add2fd,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
SECTION,20dc6b47-791e-4a4a-bfc0-5dffaf4f59cf,Scoring Method,9.2,,e59f5405-335f-4249-88ad-2ead96add2fd,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
SECTION,c0ec5a51-bda3-4ae4-b7fe-6beefb948e48,Scoring Ties,9.3,,e59f5405-335f-4249-88ad-2ead96add2fd,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
SECTION,fc9997ee-dfaf-4101-b549-be5acd90bd6d,Target Scoring and Penalty Values,9.4,,e59f5405-335f-4249-88ad-2ead96add2fd,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
SECTION,6d02a219-189a-4ed4-87c6-44e45b3bb68e,Target Scoring Policy,9.5,,e59f5405-335f-4249-88ad-2ead96add2fd,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
SECTION,c8aad0c3-2254-4688-b4de-a052b272a608,Score Verification and Challenge,9.6,,e59f5405-335f-4249-88ad-2ead96add2fd,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
SECTION,80fd5e98-dbe3-4924-a515-cb33118b3c17,Score Sheets,9.7,,e59f5405-335f-4249-88ad-2ead96add2fd,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
SECTION,e91ba226-755c-4988-87dc-9961a76a29d4,Scoring Responsibility,9.8,,e59f5405-335f-4249-88ad-2ead96add2fd,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
SECTION,152ce8e7-cfd9-42a6-a0d6-8acffdcb13b0,Scoring of Disappearing Targets,9.9,,e59f5405-335f-4249-88ad-2ead96add2fd,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
SECTION,b73e3318-21ee-4d43-99a2-b85d5d4353a5,Official Time,9.10,,e59f5405-335f-4249-88ad-2ead96add2fd,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
SECTION,f337ab9d-7737-4b8e-bae7-3cda8e12f252,Scoring Programs,9.11,,e59f5405-335f-4249-88ad-2ead96add2fd,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
SECTION,7ce0509d-7bfe-42ef-aa8e-0e8fce1a9fcb,Procedural Penalties � General Regulations,10.1,,634b991c-2597-4d52-a8bf-e91540544366,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
SECTION,66a0ec64-e51a-4c6a-8e0b-318b82643220,Procedural Penalties � Specific Examples,10.2,,634b991c-2597-4d52-a8bf-e91540544366,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
SECTION,b9ac108c-cefe-4091-9dc8-b7f3500d58e6,Disqualification � General Regulations,10.3,,634b991c-2597-4d52-a8bf-e91540544366,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
SECTION,c1515289-5ad8-409c-bb4d-efc70c09768c,Disqualification � Accidental Discharge,10.4,A competitor who causes an accidental discharge must be stopped by a Range Officer as soon as possible. An accidental discharge is defined as follows: ,634b991c-2597-4d52-a8bf-e91540544366,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
SECTION,4d500be1-b7bb-4fd6-aeec-98eb420861b0,Disqualification � Unsafe Gun Handling,10.5,Examples of unsafe gun handling include~ but are not limited to: ,634b991c-2597-4d52-a8bf-e91540544366,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
SECTION,6c8a365e-b564-4453-a74c-b25417b7e991,Disqualification � Unsportsmanlike Conduct,10.6,,634b991c-2597-4d52-a8bf-e91540544366,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
SECTION,b4840917-b827-49bb-acac-20dc20c6007b,Disqualification � Prohibited Substances,10.7,,634b991c-2597-4d52-a8bf-e91540544366,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
SECTION,abd55393-2492-4080-85d6-311ef2b8d06a,General Principles,11.1,,54a6c27c-06c4-44a2-b503-64735c7fcebe,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
SECTION,d98beec9-a42a-4cc1-be5e-465ec6bcaac9,Composition of Committee,11.2,,54a6c27c-06c4-44a2-b503-64735c7fcebe,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
SECTION,ee662416-c0cd-4561-a542-74916bc7eac1,Time Limits and Sequences,11.3,,54a6c27c-06c4-44a2-b503-64735c7fcebe,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
SECTION,1e746680-25c3-40fb-91c6-72c5214cd5bd,Fees,11.4,,54a6c27c-06c4-44a2-b503-64735c7fcebe,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
SECTION,43890623-9268-47e2-bff1-e48853b40ce1,Rules of Procedure,11.5,,54a6c27c-06c4-44a2-b503-64735c7fcebe,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
SECTION,2de4184e-cd46-47cd-9bff-29d1acf42a96,Verdict and Subsequent Action,11.6,,54a6c27c-06c4-44a2-b503-64735c7fcebe,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
SECTION,f3704908-e5a1-4648-9fba-ec60069ca2fe,Third Party Appeals,11.7,,54a6c27c-06c4-44a2-b503-64735c7fcebe,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
SECTION,4e70f4ea-3eff-4b62-b0f0-e8e4bd6b1fab,Interpretation of Rules,11.8,,54a6c27c-06c4-44a2-b503-64735c7fcebe,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
SECTION,8fd51eb4-3810-4a3d-901f-6d6ed03ed9a3,Appendices,12.1,All Appendices included herein are an integral part of these rules. ,766fcc57-a446-4f58-ac29-3c60c90b27aa,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
SECTION,1203335b-1339-4304-bac4-5a9e88e3cbd9,Language,12.2,English is the official language of the IPSC Rules. Should there be discrepancies between the English language version of these rules and versions presented in other languages~ the English language version will prevail. ,766fcc57-a446-4f58-ac29-3c60c90b27aa,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
SECTION,f4e8f1b6-bac4-4226-815d-f4ff7a99186c,Disclaimers,12.3,Competitors and all other persons in attendance at an IPSC match are wholly~ solely and personally responsible to ensure that all and any equipment which they bring to the match is fully in compliance with all laws applicable to the geographical or political area where the match is being held. Neither IPSC nor any IPSC Officers~ nor any organization affiliated to IPSC nor any officers of any organization affiliated to IPSC accepts any responsibility whatsoever in this regard~ nor in respect of any loss~ damage~ accident~ injury or death suffered by any person or entity as a result of the lawful or unlawful use of any such equipment. ,766fcc57-a446-4f58-ac29-3c60c90b27aa,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
SECTION,25a1e530-7749-4b03-9efc-0d748b46a710,Gender,12.4,References made herein to the male gender (i.e. "he"~ "his"~ "him") are deemed to include the female gender (i.e. "she"~ "her"). ,766fcc57-a446-4f58-ac29-3c60c90b27aa,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
SECTION,44c9db31-b4e7-4f75-9ce5-d8f238528c59,Glossary,12.5,Throughout these rules~ the following definitions apply: ,766fcc57-a446-4f58-ac29-3c60c90b27aa,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
RULE,4f600357-1f8f-430b-83d2-dce09697290b,Safety,1.1.1,IPSC matches must be designed~ constructed and conducted with due consideration to safety.,df6f1a81-a995-447b-b797-5d1cc9317057,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
RULE,670b2db6-9f9d-42a2-926c-176a69a7abe1,Quality,1.1.2,The value of an IPSC match is determined by the quality of the challenge presented in the course design. Courses of fire must be designed primarily to test a competitor�s IPSC shooting skills~ not their physical abilities.,df6f1a81-a995-447b-b797-5d1cc9317057,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
RULE,7185afa3-3719-41a7-a61f-5913965523c6,Balance,1.1.3,Accuracy~ Power and Speed are equivalent elements of IPSC shooting~ and are expressed in the Latin words "Diligentia~ Vis~ Celeritas" ("DVC"). A properly balanced course of fire will depend largely upon the nature of the challenges presented therein. However~ courses must be designed~ and IPSC matches must be conducted in such a way~ as to evaluate these elements equally.,df6f1a81-a995-447b-b797-5d1cc9317057,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
RULE,def84d4b-f746-49c0-b224-015e5d6d52dc,Diversity,1.1.4,IPSC shooting challenges are diverse. While it is not necessary to construct new courses for each match~ no single course of fire must be repeated to allow its use to be considered a definitive measure of IPSC shooting skills.,df6f1a81-a995-447b-b797-5d1cc9317057,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
RULE,2f0ddb3c-9dab-4428-8f88-2e937cefb1fd,Freestyle,1.1.5,IPSC matches are freestyle. Competitors must be permitted to solve the challenge presented in a freestyle manner and~ for handgun and shotgun matches~ to shoot targets on an "as and when visible" basis. After the Start Signal~ courses of fire must not require mandatory reloads nor dictate a shooting position~ location or stance~ except as specified below. However~ conditions may be created~ and barriers or other physical limitations may be constructed~ to compel a competitor into shooting positions~ locations or stances.,df6f1a81-a995-447b-b797-5d1cc9317057,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
RULE,f82284a2-c74d-4e23-9d70-ec811dbcc7e2,Difficulty,1.1.6,IPSC matches present varied degrees of difficulty. No shooting challenge may be appealed as being prohibitive. This does not apply to non-shooting challenges~ which should reasonably allow for differences in competitor's height and physical build.,df6f1a81-a995-447b-b797-5d1cc9317057,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
RULE,79dccf29-1e0c-46e7-b04b-7c42d9578d63,Challenge,1.1.7,IPSC matches recognize the challenges presented when using full power firearms in dynamic shooting~ and must always employ a minimum power factor to be attained by all competitors to reflect this challenge.,df6f1a81-a995-447b-b797-5d1cc9317057,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
RULE,a94d7b6e-2332-4c13-b67d-9bab18442f6a,,1.2.1,General Courses of Fire:,fec5b6cd-4565-4be9-aa2c-d59150c6afc1,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
RULE,5aed9bcc-145a-4540-8dc2-2d880764c684,,1.2.2,Special Courses of Fire:,fec5b6cd-4565-4be9-aa2c-d59150c6afc1,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
RULE,18fa6aa9-2771-409d-9158-ff6acf2984c0,,1.3.1,Match organizers wishing to receive IPSC sanctioning must comply with the general principles of course design and course construction as well as all other current IPSC Rules and regulations relevant to the discipline. Courses of fire that do not comply with these requirements will not be sanctioned~ and must not be publicized or announced as IPSC sanctioned matches.,caf9311d-c6af-4976-b92d-d9f3cf70e467,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
RULE,98124815-229b-4b2b-bb9d-6abf5816f34b,,1.3.2,Target arrays and presentations or props included in courses of fire submitted to IPSC~ but deemed by IPSC to be illogical or impractical~ will not be approved (see latest version of the separate Target Array Book).,caf9311d-c6af-4976-b92d-d9f3cf70e467,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
RULE,53776ed9-5ca2-4897-a903-b168d4f3565c,,1.3.3,The IPSC President~ his delegate~ or an officer of the Confederation (in that order)~ may withdraw IPSC sanctioning from a match if~ in his or their opinion~ a match or any component part thereof:,caf9311d-c6af-4976-b92d-d9f3cf70e467,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
RULE,fbaa44e3-f960-4c8f-a5cb-e530ca68691c,,1.3.4,IPSC match level requirements and recommendations are specified in Appendix A1.,caf9311d-c6af-4976-b92d-d9f3cf70e467,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
RULE,499433d0-4f87-41b6-bfc3-51bc6c17b208,Physical Construction,2.1.1,Safety considerations in the design~ physical construction~ and stated requirements for any course of fire are the responsibility of the host organization subject to the approval of the Range Master. Reasonable effort must be made to prevent injury to competitors~ officials and spectators during the match. Course design should prevent inadvertent unsafe actions wherever possible. Consideration must be given to the operation of any course of fire to provide suitable access for officials supervising the competitors.,df37020b-e5b7-47a8-b8db-1e1ebbddaead,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
RULE,8d228cd2-cb53-4acc-8336-49a9089f359c,Safe Angles of Fire,2.1.2,Courses of fire must always be constructed taking into account safe angles of fire. Consideration must be given to safe target and frame construction and the angle of any possible ricochets. Where appropriate the physical dimensions and suitability of backstops and side berms must be determined as part of the construction process. Unless otherwise specified~ the default maximum muzzle angle is 90 degrees in all directions~ measured from the front of the competitor facing directly center downrange. Violations are subject to Rule 10.5.2.,df37020b-e5b7-47a8-b8db-1e1ebbddaead,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
RULE,63d69928-298b-4eee-9615-d7340b9bab12,Minimum Distances,2.1.3,Whenever metal targets or metal hard cover are used in a course of fire~ minimum distances apply while they are being shot. Where possible~ this should be done with physical barriers. If Fault Lines are used to limit the approach to metal targets~ they must be placed further away so that the competitor may inadvertently fault the line and still be outside the minimum distance (see Rule 10.4.7). Care should also be taken in respect of metal props in the line of fire.,df37020b-e5b7-47a8-b8db-1e1ebbddaead,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
