DISCIPLINE,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83,Handgun
CHAPTER,d68b7723-d685-40d7-9b72-ecb1c638db9c,Course Design,1,The following general principles of course design list the criteria~ responsibilities and restrictions governing Course Designers as the architects of the sport of IPSC shooting. ,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
CHAPTER,5bb699ac-dac3-4aba-a4f9-cba4f642c1c5,Range and Course Construction,2,The following general regulations of course construction list the criteria~ responsibilities and restrictions applicable to courses of fire in IPSC matches. Course Designers~ host organizations and officials are governed by these regulations. ,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
CHAPTER,0dd0ecee-bb8c-494e-8720-74d5be5921a7,Course Information,3,,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
CHAPTER,3da79bf5-68ba-45f3-b983-a1274c2e59fe,Range Equipment,4,,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
CHAPTER,35bd0461-9cb3-4b77-94de-67f7f56a87af,Competitor Equipment,5,,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
CHAPTER,e7531529-0ec1-4b51-b9cc-66ec25496dbe,Match Structure,6,,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
CHAPTER,877e64c4-14e6-4844-97b3-3da3437f6bd2,Match Management,7,,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
CHAPTER,eae65a73-4038-49eb-ba91-c51fd9ca590a,The Course of Fire,8,,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
CHAPTER,e5d8a70a-cd17-432e-aa44-bbe4f91c526d,Scoring,9,,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
CHAPTER,51ee17e9-7f84-443a-9bf4-fdc4bd18f311,Penalties and Disqualifications,10,,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
CHAPTER,1c2d23c3-3dc5-455d-823e-01fafcc01921,Arbitration and Interpretation of Rules,11,,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
CHAPTER,a50bd0e4-4327-4cf0-b319-2f79c1224d74,Miscellaneous Matters,12,,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
SECTION,62e7ccfb-fa90-4541-879e-10492f83e99d,General Regulations,3.1,The competitor is always responsible to safely fulfill the requirements of a course of fire but can only reasonably be expected to do so after verbally or physically receiving the written stage briefing~ which must adequately explain the requirements to the competitors. Course information can be broadly divided into the following types: ,0dd0ecee-bb8c-494e-8720-74d5be5921a7,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
SECTION,f210fa59-6829-454e-8867-19f2618e4fdf,Written Stage Briefings,3.2,,0dd0ecee-bb8c-494e-8720-74d5be5921a7,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
SECTION,136f5c0e-9970-4a61-95cc-eb239b8fdf92,Local~ Regional and National Rules,3.3,,0dd0ecee-bb8c-494e-8720-74d5be5921a7,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
SECTION,47167fa4-9336-47ff-bcb6-5569c10e789e,Targets � General Principles,4.1,,3da79bf5-68ba-45f3-b983-a1274c2e59fe,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
SECTION,07d1cefb-d60c-4169-9f66-31ddd936dcc6,IPSC Approved Handgun Targets � Paper,4.2,,3da79bf5-68ba-45f3-b983-a1274c2e59fe,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
SECTION,1daa17f7-d85f-48c8-b25d-cdae570ae52b,IPSC Approved Handgun Targets � Metal,4.3,,3da79bf5-68ba-45f3-b983-a1274c2e59fe,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
SECTION,2924db84-64d6-42ea-a7d3-4848454bcd5f,Frangible and Synthetic Targets,4.4,,3da79bf5-68ba-45f3-b983-a1274c2e59fe,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
SECTION,01f4e2ed-5b5c-48d1-bb83-23ec4748436c,Rearrangement of Range Equipment or Surface,4.5,,3da79bf5-68ba-45f3-b983-a1274c2e59fe,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
SECTION,dd1975b1-022d-405f-a399-c285d8fca624,Range Equipment Failure and Other Issues,4.6,,3da79bf5-68ba-45f3-b983-a1274c2e59fe,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
SECTION,15486ab1-6036-4587-b764-22332d6cac48,Firearms,5.1,,35bd0461-9cb3-4b77-94de-67f7f56a87af,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
SECTION,668c978b-4641-46f9-ab39-d6d862877ca5,Holster and Other Competitor Equipment,5.2,,35bd0461-9cb3-4b77-94de-67f7f56a87af,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
SECTION,1b8ce383-a040-4e1c-9f20-06eae652adbb,Appropriate Dress,5.3,,35bd0461-9cb3-4b77-94de-67f7f56a87af,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
SECTION,90c608eb-f23d-4a26-8df9-7db859ec4d2f,Eye and Ear Protection,5.4,,35bd0461-9cb3-4b77-94de-67f7f56a87af,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
SECTION,c34cdf34-80f1-4b5f-b8dd-5bed9a633ce7,Ammunition and Related Equipment,5.5,,35bd0461-9cb3-4b77-94de-67f7f56a87af,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
SECTION,2864a80d-12c1-477c-81de-2a1f98ea88be,Chronograph and Power Factors,5.6,,35bd0461-9cb3-4b77-94de-67f7f56a87af,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
SECTION,78fa31a5-5fa3-4b60-95cd-4d2740cc4be0,Malfunctions � Competitor's Equipment,5.7,,35bd0461-9cb3-4b77-94de-67f7f56a87af,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
SECTION,1042ff95-42b8-48c3-88ff-a19b3a4606b6,Official Match Ammunition,5.8,,35bd0461-9cb3-4b77-94de-67f7f56a87af,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
SECTION,b4b0149d-c7bd-47dc-9fb9-52859123dd96,General Principles,6.1,The following definitions are used for clarity: ,e7531529-0ec1-4b51-b9cc-66ec25496dbe,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
SECTION,33d7b74a-78da-4554-956b-0c7353543af4,Match Divisions,6.2,,e7531529-0ec1-4b51-b9cc-66ec25496dbe,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
SECTION,b30825ba-df56-4383-aaec-36ef34808beb,Match Categories,6.3,,e7531529-0ec1-4b51-b9cc-66ec25496dbe,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
SECTION,96397c97-a4df-4ca8-9fda-9c73d841c555,Regional Teams,6.4,,e7531529-0ec1-4b51-b9cc-66ec25496dbe,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
SECTION,60af160e-a8b3-4707-9453-c863bfafa400,Competitor Status and Credentials,6.5,,e7531529-0ec1-4b51-b9cc-66ec25496dbe,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
SECTION,e4a07760-abb4-4aad-95bf-54a91164bd80,Competitor Scheduling and Squadding,6.6,,e7531529-0ec1-4b51-b9cc-66ec25496dbe,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
SECTION,43ab77d4-fb20-4030-b8c0-18f90ff16f0c,International Classification System ("ICS"),6.7,,e7531529-0ec1-4b51-b9cc-66ec25496dbe,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
SECTION,349deb32-105a-4ba3-aca4-127b0c1557c8,Match Officials,7.1,The duties and terms of reference of Match Officials are defined as follows: ,877e64c4-14e6-4844-97b3-3da3437f6bd2,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
SECTION,4c9c0652-4058-447e-aefa-19e1dd65ee95,Discipline of Match Officials,7.2,,877e64c4-14e6-4844-97b3-3da3437f6bd2,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
SECTION,fb4047e3-4c26-4a84-bce4-285bea7d897b,Appointment of Officials,7.3,,877e64c4-14e6-4844-97b3-3da3437f6bd2,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
SECTION,411fe944-1b85-4f5e-bf98-0db5e4c4166b,Handgun Ready Conditions,8.1,The ready condition for handguns will normally be as stated below. However~ in the event that a competitor fails to load the chamber when permitted by the written stage briefing~ whether inadvertently or intentionally~ the Range Officer must not take any action~ as the competitor is always responsible for the handling of the handgun. ,eae65a73-4038-49eb-ba91-c51fd9ca590a,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
SECTION,72d11e9e-0afc-40c3-b417-85b34dd45d2d,Competitor Ready Condition,8.2,This designates when~ under the direct command of a Range Officer: ,eae65a73-4038-49eb-ba91-c51fd9ca590a,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
SECTION,0b5c8662-3d47-48e5-a6df-02cb75831d4f,Range Communication,8.3,The approved range commands and their sequence are as follows: ,eae65a73-4038-49eb-ba91-c51fd9ca590a,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
SECTION,1f6be45d-ffc4-4dab-9394-237b2164a911,Loading~ Reloading or Unloading During a Course of Fire,8.4,,eae65a73-4038-49eb-ba91-c51fd9ca590a,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
SECTION,309efcb4-3429-4932-9c55-3918aa1bea13,Movement,8.5,,eae65a73-4038-49eb-ba91-c51fd9ca590a,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
SECTION,25282659-4019-4007-adfa-211acd295311,Assistance or Interference,8.6,,eae65a73-4038-49eb-ba91-c51fd9ca590a,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
SECTION,0dbcb31d-5ade-4979-8383-dc1e4681f08e,Sight Pictures~ Dry Firing and Course Inspection,8.7,,eae65a73-4038-49eb-ba91-c51fd9ca590a,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
SECTION,aa7d45de-7dfb-4306-b250-16a32e4234ae,General Regulations,9.1,,e5d8a70a-cd17-432e-aa44-bbe4f91c526d,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
SECTION,54ac7243-a7bd-4f67-bd47-6f9d2bfb9c27,Scoring Method,9.2,,e5d8a70a-cd17-432e-aa44-bbe4f91c526d,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
SECTION,9bc7c4c8-ed71-4f6b-b7a7-99661bb155aa,Scoring Ties,9.3,,e5d8a70a-cd17-432e-aa44-bbe4f91c526d,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
SECTION,fec34822-388e-4475-98a6-ef0e22c6e33a,Target Scoring and Penalty Values,9.4,,e5d8a70a-cd17-432e-aa44-bbe4f91c526d,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
SECTION,d7fdd163-2402-4b5f-801a-9c21af6f0913,Target Scoring Policy,9.5,,e5d8a70a-cd17-432e-aa44-bbe4f91c526d,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
SECTION,23ddaa7b-90c8-47e5-9804-467c622ab856,Score Verification and Challenge,9.6,,e5d8a70a-cd17-432e-aa44-bbe4f91c526d,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
SECTION,713c88e2-eca8-4acd-9a73-c5300a89ebe2,Score Sheets,9.7,,e5d8a70a-cd17-432e-aa44-bbe4f91c526d,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
SECTION,c0f181a6-f9f1-486d-9c7e-9543c9194661,Scoring Responsibility,9.8,,e5d8a70a-cd17-432e-aa44-bbe4f91c526d,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
SECTION,b952d458-08b6-4f36-bab9-3b934503d4e9,Scoring of Disappearing Targets,9.9,,e5d8a70a-cd17-432e-aa44-bbe4f91c526d,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
SECTION,dd2d3768-2453-464c-8d76-d021c0bd515e,Official Time,9.10,,e5d8a70a-cd17-432e-aa44-bbe4f91c526d,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
SECTION,0fe944b0-96a9-4f94-9c01-04ec4560bba5,Scoring Programs,9.11,,e5d8a70a-cd17-432e-aa44-bbe4f91c526d,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
SECTION,c2e93aad-bb6e-4ef2-b573-74a08524e89d,Procedural Penalties � General Regulations,10.1,,51ee17e9-7f84-443a-9bf4-fdc4bd18f311,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
SECTION,3c12389f-f19d-491a-b12a-11194439067a,Procedural Penalties � Specific Examples,10.2,,51ee17e9-7f84-443a-9bf4-fdc4bd18f311,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
SECTION,fe23ef9b-dabc-4bde-a373-2204d37fdc01,Disqualification � General Regulations,10.3,,51ee17e9-7f84-443a-9bf4-fdc4bd18f311,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
SECTION,9c86cab2-9603-4cb7-bdb3-d5673238f904,Disqualification � Accidental Discharge,10.4,A competitor who causes an accidental discharge must be stopped by a Range Officer as soon as possible. An accidental discharge is defined as follows: ,51ee17e9-7f84-443a-9bf4-fdc4bd18f311,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
SECTION,c54e479a-8948-46b2-86d4-c92523b67b0e,Disqualification � Unsafe Gun Handling,10.5,Examples of unsafe gun handling include~ but are not limited to: ,51ee17e9-7f84-443a-9bf4-fdc4bd18f311,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
SECTION,4858f909-7ee2-4fed-8102-f0feff186106,Disqualification � Unsportsmanlike Conduct,10.6,,51ee17e9-7f84-443a-9bf4-fdc4bd18f311,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
SECTION,813e1e92-2940-4573-af07-8d33fdfb3cb1,Disqualification � Prohibited Substances,10.7,,51ee17e9-7f84-443a-9bf4-fdc4bd18f311,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
SECTION,810953b6-4a54-4d91-930d-d4b791ace059,General Principles,11.1,,1c2d23c3-3dc5-455d-823e-01fafcc01921,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
SECTION,13c3fb71-9975-4e11-95a4-6c518de1f343,Composition of Committee,11.2,,1c2d23c3-3dc5-455d-823e-01fafcc01921,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
SECTION,01951d85-1609-45d5-a49f-c7c762b4ff1b,Time Limits and Sequences,11.3,,1c2d23c3-3dc5-455d-823e-01fafcc01921,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
SECTION,c9ff22be-1224-4f06-8777-cf1ec0837724,Fees,11.4,,1c2d23c3-3dc5-455d-823e-01fafcc01921,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
SECTION,7b43a6c2-4869-4958-80b4-72d438c898e9,Rules of Procedure,11.5,,1c2d23c3-3dc5-455d-823e-01fafcc01921,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
SECTION,2228929e-355d-434f-abbd-2e73598511c2,Verdict and Subsequent Action,11.6,,1c2d23c3-3dc5-455d-823e-01fafcc01921,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
SECTION,bca0d96e-201e-400f-8cb0-e85ad3b60f92,Third Party Appeals,11.7,,1c2d23c3-3dc5-455d-823e-01fafcc01921,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
SECTION,e4d83dfc-a1c7-47b4-a3e6-07e37751d5ea,Interpretation of Rules,11.8,,1c2d23c3-3dc5-455d-823e-01fafcc01921,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
SECTION,ea2f0dff-0a23-480b-b59a-12e2f7e280f8,Appendices,12.1,All Appendices included herein are an integral part of these rules. ,a50bd0e4-4327-4cf0-b319-2f79c1224d74,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
SECTION,f4630cca-85fc-41ab-97dc-f896f77c7b4a,Language,12.2,English is the official language of the IPSC Rules. Should there be discrepancies between the English language version of these rules and versions presented in other languages~ the English language version will prevail. ,a50bd0e4-4327-4cf0-b319-2f79c1224d74,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
SECTION,0df52879-f54d-4c6f-8f54-9dd31afd616f,Disclaimers,12.3,Competitors and all other persons in attendance at an IPSC match are wholly~ solely and personally responsible to ensure that all and any equipment which they bring to the match is fully in compliance with all laws applicable to the geographical or political area where the match is being held. Neither IPSC nor any IPSC Officers~ nor any organization affiliated to IPSC nor any officers of any organization affiliated to IPSC accepts any responsibility whatsoever in this regard~ nor in respect of any loss~ damage~ accident~ injury or death suffered by any person or entity as a result of the lawful or unlawful use of any such equipment. ,a50bd0e4-4327-4cf0-b319-2f79c1224d74,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
SECTION,409f3c44-bb48-45fd-b00a-c6a777978f4d,Gender,12.4,References made herein to the male gender (i.e. "he"~ "his"~ "him") are deemed to include the female gender (i.e. "she"~ "her"). ,a50bd0e4-4327-4cf0-b319-2f79c1224d74,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
SECTION,1ac4a9b2-bc47-4d05-9494-ea6456b943cc,Glossary,12.5,Throughout these rules~ the following definitions apply: ,a50bd0e4-4327-4cf0-b319-2f79c1224d74,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,f1d13a09-6528-4ba7-a6c3-be33984cee47,Safety,1.1.1,IPSC matches must be designed~ constructed and conducted with due consideration to safety.,a0124422-9567-467b-adbc-a80f2baf81a1,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,ee0b58ca-4200-4041-9256-2f787db6a441,Quality,1.1.2,The value of an IPSC match is determined by the quality of the challenge presented in the course design. Courses of fire must be designed primarily to test a competitor's IPSC shooting skills~ not their physical abilities.,a0124422-9567-467b-adbc-a80f2baf81a1,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,a40a1c25-7d3c-4b8b-9339-7f9ca3165775,Balance,1.1.3,Accuracy~ Power and Speed are equivalent elements of IPSC shooting~ and are expressed in the Latin words "Diligentia~ Vis~ Celeritas" ("DVC"). A properly balanced course of fire will depend largely upon the nature of the challenges presented therein. However~ courses must be designed~ and IPSC matches must be conducted in such a way~ as to evaluate these elements equally.,a0124422-9567-467b-adbc-a80f2baf81a1,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,7ca5488b-81df-47c4-bb8a-aac64a3a0953,Diversity,1.1.4,IPSC shooting challenges are diverse. While it is not necessary to construct new courses for each match~ no single course of fire must be repeated to allow its use to be considered a definitive measure of IPSC shooting skills.,a0124422-9567-467b-adbc-a80f2baf81a1,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,ad686a43-6891-4685-9cdf-1aae359033fd,Freestyle,1.1.5,IPSC matches are freestyle. Competitors must be permitted to solve the challenge presented in a freestyle manner and~ for handgun and shotgun matches~ to shoot targets on an "as and when visible" basis. After the Start Signal~ courses of fire must not require mandatory reloads nor dictate a shooting position~ location or stance~ except as specified below. However~ conditions may be created~ and barriers or other physical limitations may be constructed~ to compel a competitor into shooting positions~ locations or stances.,a0124422-9567-467b-adbc-a80f2baf81a1,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,813eca51-fa6a-4de0-a861-f8dda447f646,Difficulty,1.1.6,IPSC matches present varied degrees of difficulty. No shooting challenge may be appealed as being prohibitive. This does not apply to non-shooting challenges~ which should reasonably allow for differences in competitor's height and physical build.,a0124422-9567-467b-adbc-a80f2baf81a1,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,08ad4f0f-d55e-402c-b212-0f998f85c535,Challenge,1.1.7,IPSC matches recognize the challenges presented when using full power firearms in dynamic shooting~ and must always employ a minimum power factor to be attained by all competitors to reflect this challenge.,a0124422-9567-467b-adbc-a80f2baf81a1,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,7b16ca1f-7180-4bfe-99a5-42bde0687e80,,1.2.1,General Courses of Fire:,9efb48f2-d4c9-4551-9450-3bd38e0eaad1,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,9d284ca3-d54c-41ad-98eb-ba7df512d216,,1.2.2,Special Courses of Fire:,9efb48f2-d4c9-4551-9450-3bd38e0eaad1,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,bea1c54a-88eb-474f-9db6-e1c55766385b,,1.3.1,Match organizers wishing to receive IPSC sanctioning must comply with the general principles of course design and course construction as well as all other current IPSC Rules and regulations relevant to the discipline. Courses of fire that do not comply with these requirements will not be sanctioned~ and must not be publicized or announced as IPSC sanctioned matches.,2e9aba86-550e-493e-b4bc-2c3d7d87c8da,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,97cc52dc-87a5-4762-bac5-9ebb6f2e654e,,1.3.2,Target arrays and presentations or props included in courses of fire submitted to IPSC~ but deemed by IPSC to be illogical or impractical~ will not be approved (see latest version of the separate Target Array Book).,2e9aba86-550e-493e-b4bc-2c3d7d87c8da,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,409d3095-2aa2-4627-bf7e-7aae6690ab81,,1.3.3,The IPSC President~ his delegate~ or an officer of the Confederation (in that order)~ may withdraw IPSC sanctioning from a match if~ in his or their opinion~ a match or any component part thereof:,2e9aba86-550e-493e-b4bc-2c3d7d87c8da,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,696d4e6b-eb9f-4b65-9338-070e1c2bfb3c,,1.3.4,IPSC match level requirements and recommendations are specified in Appendix A1.,2e9aba86-550e-493e-b4bc-2c3d7d87c8da,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,e2dc44d3-a0f5-4b04-911a-446e6d59ecfa,Physical Construction,2.1.1,Safety considerations in the design~ physical construction~ and stated requirements for any course of fire are the responsibility of the host organization subject to the approval of the Range Master. Reasonable effort must be made to prevent injury to competitors~ officials and spectators during the match. Course design should prevent inadvertent unsafe actions wherever possible. Consideration must be given to the operation of any course of fire to provide suitable access for officials supervising the competitors.,27e07d41-8fc6-45fb-92c9-c322fbc8a8ab,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,1c26c91a-274f-4fde-8c9d-af83624f6c4a,Safe Angles of Fire,2.1.2,Courses of fire must always be constructed taking into account safe angles of fire. Consideration must be given to safe target and frame construction and the angle of any possible ricochets. Where appropriate the physical dimensions and suitability of backstops and side berms must be determined as part of the construction process. Unless otherwise specified~ the default maximum muzzle angle is 90 degrees in all directions~ measured from the front of the competitor facing directly center downrange. Violations are subject to Rule 10.5.2.,27e07d41-8fc6-45fb-92c9-c322fbc8a8ab,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,0b87c770-65b8-40f7-9c09-1e4e1a4fbd5c,Minimum Distances,2.1.3,Whenever metal targets or metal hard cover are used in a course of fire~ precautions must be taken so that competitors and Match Officials maintain a minimum distance of 7 meters from them while they are being shot. Where possible~ this should be done with physical barriers. If Fault Lines are used to limit the approach to metal targets~ they must be placed at least 8 meters from the targets so that the competitor may inadvertently fault the line and still be outside the 7 meter minimum distance (see Rule 10.4.7). Care should also be taken in respect of metal props in the line of fire.,27e07d41-8fc6-45fb-92c9-c322fbc8a8ab,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
