DISCIPLINE,3700a212-379c-481f-8f83-411e39ef933e,Rifle
CHAPTER,0997cc5b-cd44-4538-8e8f-ceecb847e225,Course Design,1,The following general principles of course design list the criteria~ responsibilities and restrictions governing Course Designers as the architects of the sport of IPSC shooting. ,3700a212-379c-481f-8f83-411e39ef933e
CHAPTER,3364ea61-7afa-47d4-8a74-097dcda9782d,Range and Course Construction,2,The following general regulations of course construction list the criteria~ responsibilities and restrictions applicable to courses of fire in IPSC matches. Course Designers~ host organizations and officials are governed by these regulations. ,3700a212-379c-481f-8f83-411e39ef933e
CHAPTER,1510b2a4-c144-4b89-8738-99db16ed0645,Course Information,3,,3700a212-379c-481f-8f83-411e39ef933e
CHAPTER,ed8f1157-49a5-4818-a070-d0382b5295fd,Range Equipment,4,,3700a212-379c-481f-8f83-411e39ef933e
CHAPTER,66f3c913-adfa-4e0a-8b9d-34acc3fdaaed,Competitor Equipment,5,,3700a212-379c-481f-8f83-411e39ef933e
CHAPTER,a78afaff-fb32-4bd0-b4ca-adc0d4337ffb,Match Structure,6,,3700a212-379c-481f-8f83-411e39ef933e
CHAPTER,bcd268aa-65a3-48c4-96ba-b7bd784767d8,Match Management,7,,3700a212-379c-481f-8f83-411e39ef933e
CHAPTER,71474aaf-f746-4dc2-9bce-f2a68650bf00,The Course of Fire,8,,3700a212-379c-481f-8f83-411e39ef933e
CHAPTER,37751464-065d-44d3-b43b-5f0c09f3e5be,Scoring,9,,3700a212-379c-481f-8f83-411e39ef933e
CHAPTER,6e8abd5c-7085-46cf-8413-964c5c31da97,Penalties and Disqualifications,10,,3700a212-379c-481f-8f83-411e39ef933e
CHAPTER,59a57a35-9fb6-40f7-98fe-a7c57fdbfc87,Arbitration and Interpretation of Rules,11,,3700a212-379c-481f-8f83-411e39ef933e
CHAPTER,2b864bac-666b-40d4-972d-c115293937cb,Miscellaneous Matters,12,,3700a212-379c-481f-8f83-411e39ef933e
SECTION,e719aa07-2f88-4986-b2ae-a61e090fdf74,Local~ Regional and National Rules,3.3,,1510b2a4-c144-4b89-8738-99db16ed0645,3700a212-379c-481f-8f83-411e39ef933e
SECTION,d283970c-3840-4f47-a096-d0124e759eee,Targets � General Principles,4.1,,ed8f1157-49a5-4818-a070-d0382b5295fd,3700a212-379c-481f-8f83-411e39ef933e
SECTION,8adc06af-5e3c-488b-8279-4ebe10cf89b4,IPSC Approved Rifle Targets � Paper,4.2,,ed8f1157-49a5-4818-a070-d0382b5295fd,3700a212-379c-481f-8f83-411e39ef933e
SECTION,6d473290-a378-4d38-a2ce-2846700f5f3a,IPSC Approved Rifle Targets � Metal,4.3,,ed8f1157-49a5-4818-a070-d0382b5295fd,3700a212-379c-481f-8f83-411e39ef933e
SECTION,daea7323-c2ab-45d4-8c7e-2be67547a35a,Frangible Targets,4.4,,ed8f1157-49a5-4818-a070-d0382b5295fd,3700a212-379c-481f-8f83-411e39ef933e
SECTION,6e7aa0ed-f9b2-4a13-88e4-91f96a53308a,Rearrangement of Range Equipment or Surface,4.5,,ed8f1157-49a5-4818-a070-d0382b5295fd,3700a212-379c-481f-8f83-411e39ef933e
SECTION,b99aea90-deff-484b-92c6-96d8771e5d92,Range Equipment Failure and Other Issues,4.6,,ed8f1157-49a5-4818-a070-d0382b5295fd,3700a212-379c-481f-8f83-411e39ef933e
SECTION,d8217eb5-2f2f-4e3f-a406-ff0901611b1c,Firearms,5.1,,66f3c913-adfa-4e0a-8b9d-34acc3fdaaed,3700a212-379c-481f-8f83-411e39ef933e
SECTION,eba4ada0-0e17-459c-b83a-d575b1e603a9,Carry and Storage and Competitor Equipment,5.2,,66f3c913-adfa-4e0a-8b9d-34acc3fdaaed,3700a212-379c-481f-8f83-411e39ef933e
SECTION,ca3cb4a5-3087-4c87-8220-ae8bc28e80f1,Appropriate Dress,5.3,,66f3c913-adfa-4e0a-8b9d-34acc3fdaaed,3700a212-379c-481f-8f83-411e39ef933e
SECTION,aec8f85c-d108-4518-ac8f-4ad8d8b15c79,Eye and Ear Protection,5.4,,66f3c913-adfa-4e0a-8b9d-34acc3fdaaed,3700a212-379c-481f-8f83-411e39ef933e
SECTION,5145f52f-ae36-433e-b7e4-2e536dffb2a1,Ammunition and Related Equipment,5.5,,66f3c913-adfa-4e0a-8b9d-34acc3fdaaed,3700a212-379c-481f-8f83-411e39ef933e
SECTION,7ffdd288-cea0-4a41-91f2-1a3c9f03cbe9,Chronograph and Power Factors,5.6,,66f3c913-adfa-4e0a-8b9d-34acc3fdaaed,3700a212-379c-481f-8f83-411e39ef933e
SECTION,1a856d32-c064-4565-90ed-65ffad978681,Malfunctions � Competitor�s Equipment,5.7,,66f3c913-adfa-4e0a-8b9d-34acc3fdaaed,3700a212-379c-481f-8f83-411e39ef933e
SECTION,91cb5a03-a0fb-415d-b4c3-a821b3a95805,Official Match Ammunition,5.8,,66f3c913-adfa-4e0a-8b9d-34acc3fdaaed,3700a212-379c-481f-8f83-411e39ef933e
SECTION,be93dede-4d0a-4562-8c9b-b5a654b7c5c9,General Principles,6.1,The following definitions are used for clarity: ,a78afaff-fb32-4bd0-b4ca-adc0d4337ffb,3700a212-379c-481f-8f83-411e39ef933e
SECTION,3e244e48-9a26-4e1b-b327-9b78a811af3f,Match Divisions,6.2,,a78afaff-fb32-4bd0-b4ca-adc0d4337ffb,3700a212-379c-481f-8f83-411e39ef933e
SECTION,59af96c8-d193-416d-955b-38b2c59bd7aa,Match Categories,6.3,,a78afaff-fb32-4bd0-b4ca-adc0d4337ffb,3700a212-379c-481f-8f83-411e39ef933e
SECTION,46ee766e-1a42-4328-b488-17bbfaa8c4bb,Regional Teams,6.4,,a78afaff-fb32-4bd0-b4ca-adc0d4337ffb,3700a212-379c-481f-8f83-411e39ef933e
SECTION,fb233d24-c988-4b2a-bcb7-f67cb27966e9,Competitor Status and Credentials,6.5,,a78afaff-fb32-4bd0-b4ca-adc0d4337ffb,3700a212-379c-481f-8f83-411e39ef933e
SECTION,f832e4de-532f-4bdf-b094-00caa32b99e3,Competitor Scheduling and Squadding,6.6,,a78afaff-fb32-4bd0-b4ca-adc0d4337ffb,3700a212-379c-481f-8f83-411e39ef933e
SECTION,fac11a06-ca7b-4843-9113-b26c8affb717,International Classification System ("ICS"),6.7,,a78afaff-fb32-4bd0-b4ca-adc0d4337ffb,3700a212-379c-481f-8f83-411e39ef933e
SECTION,5c69fc1e-f639-4be0-83ea-4f1621045b07,Match Officials,7.1,The duties and terms of reference of Match Officials are defined as follows: ,bcd268aa-65a3-48c4-96ba-b7bd784767d8,3700a212-379c-481f-8f83-411e39ef933e
SECTION,aa1f65c9-61ca-489f-a6bb-d99c6f077814,Discipline of Match Officials,7.2,,bcd268aa-65a3-48c4-96ba-b7bd784767d8,3700a212-379c-481f-8f83-411e39ef933e
SECTION,187161da-5196-476d-8714-5a24a0bf2df6,Appointment of Officials,7.3,,bcd268aa-65a3-48c4-96ba-b7bd784767d8,3700a212-379c-481f-8f83-411e39ef933e
SECTION,a4d6c3fa-df3c-4ca7-b1d5-60b14145dfe4,Rifle Ready Conditions,8.1,The ready condition for rifles will normally be as stated below. However~ in the event that a competitor fails to load the chamber when permitted by the written stage briefing~ whether inadvertently or intentionally~ the Range Officer must not take any action~ as the competitor is always responsible for the handling of the rifle. ,71474aaf-f746-4dc2-9bce-f2a68650bf00,3700a212-379c-481f-8f83-411e39ef933e
SECTION,210701c0-6832-4df2-a07d-e05bec8a51e6,Competitor Ready Condition,8.2,This designates when~ under the direct command of a Range Officer: ,71474aaf-f746-4dc2-9bce-f2a68650bf00,3700a212-379c-481f-8f83-411e39ef933e
SECTION,48a81ed8-aef2-40f7-90e1-3df8531fe34d,Range Communication,8.3,The approved range commands and their sequence are as follows: ,71474aaf-f746-4dc2-9bce-f2a68650bf00,3700a212-379c-481f-8f83-411e39ef933e
SECTION,7188a402-5574-495f-b0ea-133d2d2f5968,Loading~ Reloading or Unloading During a Course of Fire,8.4,,71474aaf-f746-4dc2-9bce-f2a68650bf00,3700a212-379c-481f-8f83-411e39ef933e
SECTION,1e3c286d-d386-43a6-9c65-4e73ffbd1bcf,Movement,8.5,,71474aaf-f746-4dc2-9bce-f2a68650bf00,3700a212-379c-481f-8f83-411e39ef933e
SECTION,3f250871-b7a5-42bd-bd52-f3f65e79faa9,Assistance or Interference,8.6,,71474aaf-f746-4dc2-9bce-f2a68650bf00,3700a212-379c-481f-8f83-411e39ef933e
SECTION,7b9ddabb-6a0f-490b-8bdb-47af25e0d20d,Sight Pictures~ Dry Firing and Course Inspection,8.7,,71474aaf-f746-4dc2-9bce-f2a68650bf00,3700a212-379c-481f-8f83-411e39ef933e
SECTION,814ca2e3-45bb-4d45-9a6f-da7f5a5f2f04,General Regulations,9.1,,37751464-065d-44d3-b43b-5f0c09f3e5be,3700a212-379c-481f-8f83-411e39ef933e
SECTION,4d9d997e-4dc9-4f7f-91c4-19c6a24ed77e,Scoring Method,9.2,,37751464-065d-44d3-b43b-5f0c09f3e5be,3700a212-379c-481f-8f83-411e39ef933e
SECTION,05e4e21e-a193-4e58-b819-78fbccc0ad14,Scoring Ties,9.3,,37751464-065d-44d3-b43b-5f0c09f3e5be,3700a212-379c-481f-8f83-411e39ef933e
SECTION,f165a75e-b387-41a0-9c71-19f1865123e0,Target Scoring and Penalty Values,9.4,,37751464-065d-44d3-b43b-5f0c09f3e5be,3700a212-379c-481f-8f83-411e39ef933e
SECTION,071299b5-70f6-487f-b6cc-e6581e8cf81a,Target Scoring Policy,9.5,,37751464-065d-44d3-b43b-5f0c09f3e5be,3700a212-379c-481f-8f83-411e39ef933e
SECTION,4d54135d-c4f0-4134-b181-581db1f124b9,Score Verification and Challenge,9.6,,37751464-065d-44d3-b43b-5f0c09f3e5be,3700a212-379c-481f-8f83-411e39ef933e
SECTION,f56d731c-9f2b-41c4-abd0-c97e7c3b17d5,Score Sheets,9.7,,37751464-065d-44d3-b43b-5f0c09f3e5be,3700a212-379c-481f-8f83-411e39ef933e
SECTION,29da92d8-30fd-4e8b-867d-c4155a364373,Scoring Responsibility,9.8,,37751464-065d-44d3-b43b-5f0c09f3e5be,3700a212-379c-481f-8f83-411e39ef933e
SECTION,7accd9d6-7505-44c1-9e54-acd15c4c14d1,Scoring of Disappearing Targets,9.9,,37751464-065d-44d3-b43b-5f0c09f3e5be,3700a212-379c-481f-8f83-411e39ef933e
SECTION,846b5664-0e4d-460e-8d81-46eb030a37cd,Official Time,9.10,,37751464-065d-44d3-b43b-5f0c09f3e5be,3700a212-379c-481f-8f83-411e39ef933e
SECTION,6a99c34f-af66-4074-b102-315d35066e0b,Scoring Programs,9.11,9.11.1 ,37751464-065d-44d3-b43b-5f0c09f3e5be,3700a212-379c-481f-8f83-411e39ef933e
SECTION,f3edbd70-7d8b-4a74-bf7f-b22177a6b8f7,Procedural Penalties � General Regulations,10.1,,6e8abd5c-7085-46cf-8413-964c5c31da97,3700a212-379c-481f-8f83-411e39ef933e
SECTION,8e1b7f95-3865-4a25-a640-2714d774785a,Procedural Penalties � Specific Examples,10.2,,6e8abd5c-7085-46cf-8413-964c5c31da97,3700a212-379c-481f-8f83-411e39ef933e
SECTION,df444f78-0ea1-4388-aafd-52d05f411f82,Disqualification � General Regulations,10.3,,6e8abd5c-7085-46cf-8413-964c5c31da97,3700a212-379c-481f-8f83-411e39ef933e
SECTION,4168a60f-15e2-4d67-9153-7c86e8992c23,Disqualification � Accidental Discharge,10.4,A competitor who causes an accidental discharge must be stopped by a Range Officer as soon as possible. An accidental discharge is defined as follows: ,6e8abd5c-7085-46cf-8413-964c5c31da97,3700a212-379c-481f-8f83-411e39ef933e
SECTION,02ada80d-55de-412c-aa5b-a7ca03a081cb,Disqualification � Unsafe Gun Handling,10.5,Examples of unsafe gun handling include~ but are not limited to: ,6e8abd5c-7085-46cf-8413-964c5c31da97,3700a212-379c-481f-8f83-411e39ef933e
SECTION,7e8e2d1c-0d27-48a8-8b84-a3787ff2179a,Disqualification � Unsportsmanlike Conduct,10.6,,6e8abd5c-7085-46cf-8413-964c5c31da97,3700a212-379c-481f-8f83-411e39ef933e
SECTION,3aafe77a-6b04-42d6-ac35-36d7e714d9f1,Disqualification � Prohibited Substances,10.7,,6e8abd5c-7085-46cf-8413-964c5c31da97,3700a212-379c-481f-8f83-411e39ef933e
SECTION,46123ba9-178d-45ae-9dfc-4c85e3473633,General Principles,11.1,,59a57a35-9fb6-40f7-98fe-a7c57fdbfc87,3700a212-379c-481f-8f83-411e39ef933e
SECTION,ebb366b2-06dc-4fb3-a2b5-ffd35ccd1cab,Composition of Committee,11.2,,59a57a35-9fb6-40f7-98fe-a7c57fdbfc87,3700a212-379c-481f-8f83-411e39ef933e
SECTION,d8555ac3-f6b4-418e-b1b1-e7418aa1ab8a,Time Limits and Sequences,11.3,,59a57a35-9fb6-40f7-98fe-a7c57fdbfc87,3700a212-379c-481f-8f83-411e39ef933e
SECTION,561833a9-7734-4d11-ad62-15db13556841,Fees,11.4,,59a57a35-9fb6-40f7-98fe-a7c57fdbfc87,3700a212-379c-481f-8f83-411e39ef933e
SECTION,33f7ea78-8870-43e7-b899-35da1f0c919c,Rules of Procedure,11.5,,59a57a35-9fb6-40f7-98fe-a7c57fdbfc87,3700a212-379c-481f-8f83-411e39ef933e
SECTION,4ec944e5-97e9-4cd0-afc2-9d7611880d4f,Verdict and Subsequent Action,11.6,,59a57a35-9fb6-40f7-98fe-a7c57fdbfc87,3700a212-379c-481f-8f83-411e39ef933e
SECTION,8a883f30-3e27-4a29-b3a4-a996e957bd83,Third Party Appeals,11.7,,59a57a35-9fb6-40f7-98fe-a7c57fdbfc87,3700a212-379c-481f-8f83-411e39ef933e
SECTION,82bbfa91-8025-48d5-86bc-a25e3cb040ad,Interpretation of Rules,11.8,,59a57a35-9fb6-40f7-98fe-a7c57fdbfc87,3700a212-379c-481f-8f83-411e39ef933e
SECTION,78ef136d-37e2-458e-8f54-a308b66009ff,Appendices,12.1,All Appendices included herein are an integral part of these rules. ,2b864bac-666b-40d4-972d-c115293937cb,3700a212-379c-481f-8f83-411e39ef933e
SECTION,91dd06e9-7387-408e-a16d-1545ba6c3171,Language,12.2,English is the official language of the IPSC Rules. Should there be discrepancies between the English language version of these rules and versions presented in other languages~ the English language version will prevail. ,2b864bac-666b-40d4-972d-c115293937cb,3700a212-379c-481f-8f83-411e39ef933e
SECTION,cf5a4613-5db1-46f3-9f28-f313a7a03658,Disclaimers,12.3,Competitors and all other persons in attendance at an IPSC match are wholly~ solely and personally responsible to ensure that all and any equipment which they bring to the match is fully in compliance with all laws applicable to the geographical or political area where the match is being held. Neither IPSC nor any IPSC Officers~ nor any organization affiliated to IPSC nor any officers of any organization affiliated to IPSC accepts any responsibility whatsoever in this regard~ nor in respect of any loss~ damage~ accident~ injury or death suffered by any person or entity as a result of the lawful or unlawful use of any such equipment. ,2b864bac-666b-40d4-972d-c115293937cb,3700a212-379c-481f-8f83-411e39ef933e
SECTION,8ab9e003-0e8f-44a1-b773-1ea30fa8902b,Gender,12.4,References made herein to the male gender (i.e. "he"~ "his"~ "him") are deemed to include the female gender (i.e. "she"~ "her"). ,2b864bac-666b-40d4-972d-c115293937cb,3700a212-379c-481f-8f83-411e39ef933e
SECTION,dd727837-c38d-437b-ad52-e05579ecffba,Glossary,12.5,Throughout these rules~ the following definitions apply: ,2b864bac-666b-40d4-972d-c115293937cb,3700a212-379c-481f-8f83-411e39ef933e
RULE,3e4845c5-5580-4fad-90cb-b2ff166788f8,Safety,1.1.1,IPSC matches must be designed~ constructed and conducted with due consideration to safety.,68e53802-2b77-4675-8e00-c8190c07b0d0,3700a212-379c-481f-8f83-411e39ef933e
RULE,f5f88e39-2e9b-42a8-bede-ae176f03e45e,Quality,1.1.2,The value of an IPSC match is determined by the quality of the challenge presented in the course design. Courses of fire must be designed primarily to test a competitor�s IPSC shooting skills~ not their physical abilities.,68e53802-2b77-4675-8e00-c8190c07b0d0,3700a212-379c-481f-8f83-411e39ef933e
RULE,55692006-106d-4fb3-912a-7a72ef6788bc,Balance,1.1.3,Accuracy~ Power and Speed are equivalent elements of IPSC shooting~ and are expressed in the Latin words "Diligentia~ Vis~ Celeritas" ("DVC"). A properly balanced course of fire will depend largely upon the nature of the challenges presented therein. However~ courses must be designed~ and IPSC matches must be conducted in such a way~ as to evaluate these elements equally.,68e53802-2b77-4675-8e00-c8190c07b0d0,3700a212-379c-481f-8f83-411e39ef933e
RULE,caff1a86-b3c0-41fc-85a3-988b062010cc,Diversity,1.1.4,IPSC shooting challenges are diverse. While it is not necessary to construct new courses for each match~ no single course of fire must be repeated to allow its use to be considered a definitive measure of IPSC shooting skills.,68e53802-2b77-4675-8e00-c8190c07b0d0,3700a212-379c-481f-8f83-411e39ef933e
RULE,e2c2f47a-1ae2-4005-be05-77a747bd2d82,Freestyle,1.1.5,IPSC matches are freestyle. Competitors must be permitted to solve the challenge presented in a freestyle manner and~ for handgun and shotgun matches~ to shoot targets on an "as and when visible" basis. After the Start Signal~ courses of fire must not require mandatory reloads nor dictate a shooting position~ location or stance~ except as specified below. However~ conditions may be created~ and barriers or other physical limitations may be constructed~ to compel a competitor into shooting positions~ locations or stances.,68e53802-2b77-4675-8e00-c8190c07b0d0,3700a212-379c-481f-8f83-411e39ef933e
RULE,07625154-cd64-4020-8f15-5c3b028b1fde,Difficulty,1.1.6,IPSC matches present varied degrees of difficulty. No shooting challenge may be appealed as being prohibitive. This does not apply to non-shooting challenges~ which should reasonably allow for differences in competitor's height and physical build.,68e53802-2b77-4675-8e00-c8190c07b0d0,3700a212-379c-481f-8f83-411e39ef933e
RULE,4b19c43e-86f3-45ad-b30f-2736b6992cbd,Challenge,1.1.7,IPSC matches recognize the challenges presented when using full power firearms in dynamic shooting~ and must always employ a minimum power factor to be attained by all competitors to reflect this challenge.,68e53802-2b77-4675-8e00-c8190c07b0d0,3700a212-379c-481f-8f83-411e39ef933e
RULE,a8224d8e-37ea-4bca-92e6-d54fd1d9f73c,,1.2.1,General Courses of Fire:,348c708b-4b73-4e43-a873-343262a050ed,3700a212-379c-481f-8f83-411e39ef933e
RULE,879ca440-5a57-476e-b142-965bf5e9c059,,1.2.2,Special Courses of Fire:,348c708b-4b73-4e43-a873-343262a050ed,3700a212-379c-481f-8f83-411e39ef933e
RULE,a7e05000-cced-4292-a5e8-63a550f57e95,,1.3.1,Match organizers wishing to receive IPSC sanctioning must comply with the general principles of course design and course construction as well as all other current IPSC Rules and regulations relevant to the discipline. Courses of fire that do not comply with these requirements will not be sanctioned~ and must not be publicized or announced as IPSC sanctioned matches.,a881c9f9-f1f4-44ee-bb1b-3cc6e18f9f5e,3700a212-379c-481f-8f83-411e39ef933e
RULE,f1666255-15f0-478b-af1b-10a266d6fb12,,1.3.2,Target arrays and presentations or props included in courses of fire submitted to IPSC~ but deemed by IPSC to be illogical or impractical~ will not be approved (see latest version of the separate Target Array Book).,a881c9f9-f1f4-44ee-bb1b-3cc6e18f9f5e,3700a212-379c-481f-8f83-411e39ef933e
RULE,a6587ba8-0801-4301-8f2c-521d4531955e,,1.3.3,The IPSC President~ his delegate~ or an officer of the Confederation (in that order)~ may withdraw IPSC sanctioning from a match if~ in his or their opinion~ a match or any component part thereof:,a881c9f9-f1f4-44ee-bb1b-3cc6e18f9f5e,3700a212-379c-481f-8f83-411e39ef933e
RULE,1a1cf601-afe6-4c82-8875-e0cfc9164a3e,,1.3.4,IPSC match level requirements and recommendations are specified in Appendix A1.,a881c9f9-f1f4-44ee-bb1b-3cc6e18f9f5e,3700a212-379c-481f-8f83-411e39ef933e
RULE,ec3589d7-bd61-4dfe-9389-da9b3dce91a1,Physical Construction,2.1.1,Safety considerations in the design~ physical construction~ and stated requirements for any course of fire are the responsibility of the host organization subject to the approval of the Range Master. Reasonable effort must be made to prevent injury to competitors~ officials and spectators during the match. Course design should prevent inadvertent unsafe actions wherever possible. Consideration must be given to the operation of any course of fire to provide suitable access for officials supervising the competitors.,f9a2d1f5-0672-4ba3-ba16-a0b56ffb10d4,3700a212-379c-481f-8f83-411e39ef933e
RULE,25e853d0-f1b5-47b0-88dc-7de2dec37be5,Safe Angles of Fire,2.1.2,Courses of fire must always be constructed taking into account safe angles of fire. Consideration must be given to safe target and frame construction and the angle of any possible ricochets. Where appropriate the physical dimensions and suitability of backstops and side berms must be determined as part of the construction process. Unless otherwise specified~ the default maximum muzzle angle is 90 degrees in all directions~ measured from the front of the competitor facing directly center downrange. Violations are subject to Rule 10.5.2.,f9a2d1f5-0672-4ba3-ba16-a0b56ffb10d4,3700a212-379c-481f-8f83-411e39ef933e
RULE,eaf215bc-47e0-4036-bc31-2336ee45007a,Minimum Distances,2.1.3,Whenever metal targets or metal hard cover are used in a course of fire~ precautions must be taken so that competitors and Match Officials maintain a minimum distance of 50 meters from them while they are being shot. Where possible~ this should be done with physical barriers. If Fault Lines are used to limit the approach to metal targets~ they must be placed at least 51 meters from the targets so that the competitor may inadvertently fault the line and still be outside the 50 meter minimum distance (see Rule 10.4.7). Care should also be taken in respect of metal props in the line of fire.,f9a2d1f5-0672-4ba3-ba16-a0b56ffb10d4,3700a212-379c-481f-8f83-411e39ef933e
RULE,df70c2fe-4c34-438c-b242-8181cd260112,Target Locations,2.1.4,When a course is constructed to include target locations other than immediately downrange~ organizers and officials must protect or restrict surrounding areas to which competitors~ officials or spectators have access. Each competitor must be permitted to solve the competitive problem in his own way and must not be hindered by being forced to act in any manner which might cause unsafe action. Targets must be arranged so that shooting at them as presented will not cause competitors to breach safe angles of fire.,f9a2d1f5-0672-4ba3-ba16-a0b56ffb10d4,3700a212-379c-481f-8f83-411e39ef933e
RULE,12120a21-4a83-45f4-90f4-f10b4b3c2145,Range Surface,2.1.5,Where possible~ the range surface must be prepared prior to the match~ and be kept moderately clear of debris during the match~ to provide reasonable safety for competitors and officials. Consideration should be given to the possibility of inclement weather and competitor actions. Match Officials may add gravel~ sand or other materials to a deteriorated range surface at any time~ and such range maintenance actions may not be appealed by competitors.,f9a2d1f5-0672-4ba3-ba16-a0b56ffb10d4,3700a212-379c-481f-8f83-411e39ef933e
RULE,4f4a7a20-672c-4a92-8ced-fa2110c77fbc,Obstacles,2.1.6,Natural or created obstacles in a course of fire should reasonably allow for variations in competitors' height and physical build and should be constructed to provide reasonable safety for all competitors~ Match Officials and spectators.,f9a2d1f5-0672-4ba3-ba16-a0b56ffb10d4,3700a212-379c-481f-8f83-411e39ef933e
RULE,87c2a821-fa32-488a-8247-a5ebc92fa0c9,Common Firing Lines,2.1.7,Courses of fire where multiple competitors are required to fire simultaneously from a common firing line (e.g. Shoot-Off)~ must provide a minimum of 3 meters of free space between each competitor.,f9a2d1f5-0672-4ba3-ba16-a0b56ffb10d4,3700a212-379c-481f-8f83-411e39ef933e
RULE,0e5a6c92-19e9-4239-857d-8c959486c002,Target Placement,2.1.8,Care must be taken with the physical placement of a paper target to prevent a "shoot through".,f9a2d1f5-0672-4ba3-ba16-a0b56ffb10d4,3700a212-379c-481f-8f83-411e39ef933e
